mono,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_012525320.1,XP_011257319.1,0,4574,0,4592
XP_012525320.1,XP_025266074.1,0,4563,0,4584
XP_012525321.1,XP_011257319.1,0,4563,0,4584
XP_012525321.1,XP_025266074.1,0,4571,0,4589
XP_012525322.1,XP_011267900.1,5.00E-149,416,4.00E-149,416
XP_012525323.1,XP_011257317.1,0,1665,0,1665
XP_012525323.1,XP_011257318.1,0,1655,0,1654
XP_012525325.1,XP_011261090.1,1.00E-119,343,8.00E-120,343
XP_012525325.1,XP_011261092.1,8.00E-120,343,7.00E-120,343
XP_012525325.1,XP_011261093.1,4.00E-115,331,4.00E-115,331
XP_012525325.1,XP_025265995.1,1.00E-119,343,8.00E-120,343
XP_012525326.1,XP_011261090.1,1.00E-119,343,8.00E-120,343
XP_012525326.1,XP_011261092.1,8.00E-120,343,7.00E-120,343
XP_012525326.1,XP_011261093.1,4.00E-115,331,4.00E-115,331
XP_012525326.1,XP_025265995.1,1.00E-119,343,8.00E-120,343
XP_012525329.1,XP_011266285.2,0,557,0,536
XP_012525332.1,XP_011254407.1,0,960,0,976
XP_012525334.1,XP_025268734.1,0,922,0,922
XP_012525335.1,XP_025268848.1,0,724,0,715
XP_012525336.1,XP_011254374.1,0,1870,0,1801
XP_012525338.1,XP_011254386.1,0,807,0,786
XP_012525338.1,XP_011254395.1,0,816,0,794
XP_012525339.1,XP_011254386.1,0,783,0,762
XP_012525339.1,XP_011254395.1,0,792,0,769
XP_012525340.1,XP_019882769.1,4.00E-53,164,3.00E-53,164
XP_012525341.1,XP_011250896.1,0,1082,0,1083
XP_012525342.1,XP_011250897.1,0,919,0,920
XP_012525342.1,XP_019882056.1,0,919,0,920
XP_012525342.1,XP_025270485.1,0,919,0,920
XP_012525345.1,XP_011258160.1,6.00E-160,453,3.00E-161,456
XP_012525346.1,XP_011259614.1,1.00E-175,489,1.00E-175,489
XP_012525347.1,XP_011267274.1,0,805,0,805
XP_012525347.1,XP_011267275.1,0,805,0,805
XP_012525348.1,XP_011267274.1,0,805,0,805
XP_012525348.1,XP_011267275.1,0,805,0,805
XP_012525349.1,XP_011267274.1,0,805,0,805
XP_012525349.1,XP_011267275.1,0,805,0,805
XP_012525350.1,XP_011267274.1,0,805,0,805
XP_012525350.1,XP_011267275.1,0,805,0,805
XP_012525352.1,XP_011252436.2,8.00E-135,388,7.00E-135,388
XP_012525355.1,XP_011260374.1,0,685,0,672
XP_012525357.1,XP_025265480.1,0,1247,0,1190
XP_012525357.1,XP_025265481.1,0,1247,0,1190
XP_012525357.1,XP_025265482.1,0,1247,0,1190
XP_012525357.1,XP_025265483.1,0,1247,0,1190
XP_012525357.1,XP_025265484.1,0,1248,0,1190
XP_012525357.1,XP_025265485.1,0,1248,0,1190
XP_012525358.1,XP_025264208.1,8.00E-81,239,7.00E-81,239
XP_012525359.1,XP_011260105.1,0,1847,0,1838
XP_012525360.1,XP_011260105.1,0,1852,0,1843
XP_012525361.1,XP_011260103.1,2.00E-139,395,2.00E-139,395
XP_012525361.1,XP_011260104.1,2.00E-139,395,2.00E-139,395
XP_012525362.1,XP_025264253.1,6.00E-148,446,6.00E-148,446
XP_012525362.1,XP_025264254.1,4.00E-140,426,4.00E-140,426
XP_012525363.1,XP_025264253.1,6.00E-148,446,6.00E-148,446
XP_012525363.1,XP_025264254.1,4.00E-140,426,4.00E-140,426
XP_012525367.1,XP_011256682.1,0,2627,0,2629
XP_012525367.1,XP_011256683.1,0,2627,0,2629
XP_012525367.1,XP_011256684.1,0,2627,0,2629
XP_012525367.1,XP_011256685.1,0,2498,0,2500
XP_012525368.1,XP_011256687.2,0,1536,0,1516
XP_012525370.1,XP_011255462.1,0,1718,0,1659
XP_012525371.1,XP_011255458.1,0,649,0,649
XP_012525371.1,XP_011255459.1,0,649,0,649
XP_012525371.1,XP_011255460.1,0,649,0,649
XP_012525371.1,XP_019882946.1,0,649,0,649
XP_012525372.1,XP_011255458.1,0,649,0,649
XP_012525372.1,XP_011255459.1,0,649,0,649
XP_012525372.1,XP_011255460.1,0,649,0,649
XP_012525372.1,XP_019882946.1,0,649,0,649
XP_012525374.1,XP_011255461.1,0,588,0,588
XP_012525378.1,XP_011252804.1,0,520,2.00E-179,508
XP_012525378.1,XP_011252805.1,0,520,3.00E-179,509
XP_012525380.1,XP_011266199.1,0,1387,0,1406
XP_012525381.1,XP_011266199.1,0,1393,0,1411
XP_012525384.1,XP_011261192.1,0,1145,0,1160
XP_012525384.1,XP_011261193.1,0,1145,0,1160
XP_012525385.1,XP_011261192.1,0,1145,0,1159
XP_012525385.1,XP_011261193.1,0,1145,0,1159
XP_012525386.1,XP_011261194.1,0,627,0,622
XP_012525386.1,XP_011261195.1,0,627,0,622
XP_012525386.1,XP_011261197.1,0,627,0,622
XP_012525386.1,XP_025262898.1,0,627,0,622
XP_012525387.1,XP_011252130.2,9.00E-171,500,0,526
XP_012525388.1,XP_019882303.2,0,884,0,893
XP_012525391.1,XP_011268446.1,0,1454,0,1434
XP_012525392.1,XP_011268446.1,0,1448,0,1427
XP_012525394.1,XP_011268451.1,0,1056,0,1056
XP_012525396.1,XP_011268449.1,2.00E-138,393,2.00E-138,393
XP_012525396.1,XP_011268450.1,9.00E-142,401,8.00E-142,401
XP_012525398.1,XP_011268448.1,4.00E-95,275,3.00E-95,275
XP_012525399.1,XP_011258412.1,0,966,0,966
XP_012525400.1,XP_011261667.1,0,1769,0,1749
XP_012525400.1,XP_011261669.1,0,1769,0,1749
XP_012525400.1,XP_011261670.1,0,1741,0,1720
XP_012525400.1,XP_011261671.1,0,1738,0,1718
XP_012525400.1,XP_019884105.1,0,1769,0,1749
XP_012525401.1,XP_011261667.1,0,1769,0,1749
XP_012525401.1,XP_011261669.1,0,1769,0,1749
XP_012525401.1,XP_011261670.1,0,1741,0,1720
XP_012525401.1,XP_011261671.1,0,1738,0,1718
XP_012525401.1,XP_019884105.1,0,1769,0,1749
XP_012525402.1,XP_011261667.1,0,1742,0,1719
XP_012525402.1,XP_011261669.1,0,1742,0,1719
XP_012525402.1,XP_011261670.1,0,1749,0,1726
XP_012525402.1,XP_011261671.1,0,1711,0,1690
XP_012525402.1,XP_019884105.1,0,1742,0,1719
XP_012525403.1,XP_011261667.1,0,1738,0,1718
XP_012525403.1,XP_011261669.1,0,1738,0,1718
XP_012525403.1,XP_011261670.1,0,1710,0,1689
XP_012525403.1,XP_011261671.1,0,1748,0,1729
XP_012525403.1,XP_019884105.1,0,1738,0,1718
XP_012525404.1,XP_011261665.1,0,798,0,798
XP_012525404.1,XP_025270270.1,0,798,0,798
XP_012525404.1,XP_025270271.1,0,798,0,798
XP_012525405.1,XP_011261661.1,0,2336,0,2362
XP_012525406.1,XP_011261661.1,0,2341,0,2367
XP_012525407.1,XP_011261661.1,0,2316,0,2343
XP_012525408.1,XP_011260004.1,0,701,0,726
XP_012525408.1,XP_025263942.1,0,701,0,726
XP_012525409.1,XP_011260004.1,0,701,0,726
XP_012525409.1,XP_025263942.1,0,701,0,726
XP_012525410.2,XP_011260004.1,0,703,0,728
XP_012525410.2,XP_025263942.1,0,703,0,728
XP_012525411.1,XP_011258411.1,0,1248,0,1258
XP_012525412.2,XP_011254938.1,1.00E-81,281,2.00E-83,286
XP_012525412.2,XP_011254943.1,1.00E-81,281,2.00E-83,286
XP_012525415.1,XP_011263803.1,0,900,0,900
XP_012525416.1,XP_025263366.1,0,613,0,613
XP_012525416.1,XP_025263376.1,0,583,0,583
XP_012525416.1,XP_025263397.1,0,588,0,588
XP_012525416.1,XP_025266643.1,0,592,0,592
XP_012525416.1,XP_025270785.1,0,601,0,601
XP_012525423.1,XP_011255199.1,0,619,0,619
XP_012525423.1,XP_011255200.1,0,612,0,612
XP_012525423.1,XP_011255201.1,0,603,0,603
XP_012525423.1,XP_011255202.1,0,604,0,604
XP_012525424.1,XP_011264731.1,4.00E-126,360,2.00E-115,333
XP_012525424.1,XP_025262233.1,4.00E-126,360,2.00E-115,333
XP_012525425.1,XP_011264726.1,0,1183,0,1210
XP_012525425.1,XP_011264727.1,0,1172,0,1199
XP_012525425.1,XP_011264728.1,0,1197,0,1227
XP_012525425.1,XP_011264729.1,0,1162,0,1192
XP_012525426.1,XP_011264726.1,0,1188,0,1215
XP_012525426.1,XP_011264727.1,0,1174,0,1201
XP_012525426.1,XP_011264728.1,0,1204,0,1231
XP_012525426.1,XP_011264729.1,0,1167,0,1197
XP_012525429.1,XP_011264725.2,0,1236,0,1253
XP_012525431.1,XP_011255199.1,0,623,0,623
XP_012525431.1,XP_011255200.1,0,616,0,616
XP_012525431.1,XP_011255201.1,0,608,0,608
XP_012525431.1,XP_011255202.1,0,609,0,609
XP_012525432.1,XP_011269574.1,0,987,0,1009
XP_012525432.1,XP_011269582.1,0,985,0,1006
XP_012525433.1,XP_011269574.1,0,987,0,1008
XP_012525433.1,XP_011269582.1,0,986,0,1006
XP_012525434.1,XP_011269574.1,0,986,0,1009
XP_012525434.1,XP_011269582.1,0,984,0,1006
XP_012525435.1,XP_011263443.2,0,1740,0,1734
XP_012525435.1,XP_011263444.2,0,1740,0,1734
XP_012525435.1,XP_011263446.2,0,1744,0,1733
XP_012525435.1,XP_025262165.1,0,1736,0,1729
XP_012525436.1,XP_011263443.2,0,1740,0,1734
XP_012525436.1,XP_011263444.2,0,1740,0,1734
XP_012525436.1,XP_011263446.2,0,1744,0,1733
XP_012525436.1,XP_025262165.1,0,1736,0,1729
XP_012525437.1,XP_011263447.2,0,1625,0,1615
XP_012525438.1,XP_011263442.1,2.00E-156,436,2.00E-156,436
XP_012525438.1,XP_019884485.1,3.00E-154,431,3.00E-154,431
XP_012525439.1,XP_011263449.1,5.00E-70,214,4.00E-70,214
XP_012525439.1,XP_011263450.1,5.00E-70,214,4.00E-70,214
XP_012525439.1,XP_025262162.1,5.00E-70,214,4.00E-70,214
XP_012525440.1,XP_011255203.1,0,545,0,545
XP_012525440.1,XP_025267532.1,0,545,0,545
XP_012525443.1,XP_011263452.1,0,1511,0,1480
XP_012525444.1,XP_011263453.1,0,906,0,905
XP_012525445.1,XP_011265004.1,0,2136,0,2136
XP_012525445.1,XP_011265005.1,0,2123,0,2123
XP_012525446.1,XP_011265004.1,0,2136,0,2136
XP_012525446.1,XP_011265005.1,0,2123,0,2123
XP_012525447.1,XP_011265004.1,0,2123,0,2123
XP_012525447.1,XP_011265005.1,0,2127,0,2127
XP_012525449.1,XP_011255203.1,0,545,0,545
XP_012525449.1,XP_025267532.1,0,545,0,545
XP_012525450.1,XP_011265006.1,2.00E-168,489,0,543
XP_012525458.1,XP_025265101.1,2.00E-09,53.5,2.00E-09,53.9
XP_012525458.1,XP_025266185.1,3.00E-10,55.5,2.00E-10,55.5
XP_012525461.1,XP_011257536.1,0,730,0,730
XP_012525461.1,XP_019883327.1,0,732,0,732
XP_012525461.1,XP_019883328.1,0,711,0,711
XP_012525461.1,XP_025268771.1,0,733,0,733
XP_012525464.1,XP_011257529.1,0,958,0,958
XP_012525468.1,XP_011259050.1,0,880,0,881
XP_012525468.1,XP_011259052.1,0,881,0,881
XP_012525468.1,XP_019883629.1,0,881,0,881
XP_012525468.1,XP_025267208.1,0,880,0,881
XP_012525470.1,XP_011259051.1,0,823,0,823
XP_012525471.1,XP_025269094.1,3.00E-123,359,6.00E-124,361
XP_012525471.1,XP_025269136.1,4.00E-117,343,4.00E-117,343
XP_012525473.1,XP_025269132.1,8.00E-43,141,1.00E-42,141
XP_012525474.1,XP_025270489.1,8.00E-132,461,1.00E-125,442
XP_012525474.1,XP_025270491.1,3.00E-130,457,4.00E-124,437
XP_012525475.1,XP_025270666.1,0,1043,0,1046
XP_012525475.1,XP_025270667.1,0,1043,0,1046
XP_012525475.1,XP_025270669.1,0,1043,0,1046
XP_012525476.1,XP_025270666.1,0,1049,0,1053
XP_012525476.1,XP_025270667.1,0,1049,0,1053
XP_012525476.1,XP_025270669.1,0,1049,0,1053
XP_012525478.1,XP_011262817.2,6.00E-176,490,4.00E-176,491
XP_012525478.1,XP_025270645.1,6.00E-172,481,5.00E-172,481
XP_012525484.1,XP_011265968.1,0,1068,0,1043
XP_012525489.1,XP_011269383.1,1.00E-137,388,9.00E-138,388
XP_012525489.1,XP_025270589.1,3.00E-135,382,3.00E-135,382
XP_012525491.1,XP_011263971.1,0,709,0,726
XP_012525492.1,XP_011263971.1,0,709,0,726
XP_012525494.1,XP_011263971.1,0,709,0,726
XP_012525497.1,XP_011263971.1,0,709,0,726
XP_012525498.1,XP_011252816.1,0,869,0,849
XP_012525499.1,XP_011263971.1,0,709,0,726
XP_012525500.1,XP_011263971.1,0,709,0,726
XP_012525501.1,XP_011263968.1,5.00E-179,507,8.00E-177,501
XP_012525501.1,XP_011263969.1,4.00E-180,509,1.00E-177,503
XP_012525504.1,XP_011263970.1,8.00E-78,230,6.00E-78,230
XP_012525507.1,XP_011265696.1,6.00E-135,384,2.00E-135,385
XP_012525507.1,XP_011265697.1,6.00E-135,384,2.00E-135,385
XP_012525508.1,XP_011250529.1,0,959,0,933
XP_012525509.1,XP_011250529.1,0,959,0,933
XP_012525510.1,XP_011250529.1,0,953,0,927
XP_012525512.1,XP_025266835.1,0,967,0,967
XP_012525512.1,XP_025266836.1,0,967,0,967
XP_012525512.1,XP_025266837.1,0,935,0,935
XP_012525514.1,XP_025266835.1,0,935,0,935
XP_012525514.1,XP_025266836.1,0,935,0,935
XP_012525514.1,XP_025266837.1,0,945,0,945
XP_012525515.1,XP_011255317.1,0,589,0,582
XP_012525515.1,XP_011255318.1,0,579,0,571
XP_012525517.1,XP_011265696.1,6.00E-137,389,2.00E-137,390
XP_012525517.1,XP_011265697.1,6.00E-137,389,2.00E-137,390
XP_012525518.1,XP_011255317.1,0,578,0,571
XP_012525518.1,XP_011255318.1,0,579,0,571
XP_012525519.1,XP_011255317.1,0,578,0,570
XP_012525519.1,XP_011255318.1,0,577,0,570
XP_012525520.1,XP_019882931.1,3.00E-42,135,5.00E-37,122
XP_012525528.1,XP_011267608.1,0,999,0,1038
XP_012525529.1,XP_011265693.1,0,1486,0,1470
XP_012525532.1,XP_011251736.1,0,766,0,749
XP_012525532.1,XP_011251737.1,0,766,0,749
XP_012525532.1,XP_019882225.1,0,766,0,749
XP_012525532.1,XP_019882226.1,0,772,0,755
XP_012525535.1,XP_011269308.1,0,3536,0,3519
XP_012525535.1,XP_025271316.1,0,3401,0,2333
XP_012525536.1,XP_011269310.1,0,2937,0,2950
XP_012525537.1,XP_011265694.1,0,959,0,978
XP_012525539.1,XP_011269311.2,0,736,0,736
XP_012525539.1,XP_011269312.2,0,736,0,736
XP_012525540.1,XP_011269313.2,0,704,0,704
XP_012525540.1,XP_025271278.1,0,675,0,675
XP_012525541.1,XP_011269314.2,0,681,0,681
XP_012525541.1,XP_019885535.2,0,674,0,674
XP_012525542.1,XP_011269315.2,0,642,0,642
XP_012525546.1,XP_019885537.2,0,618,0,618
XP_012525546.1,XP_019885538.2,0,617,0,617
XP_012525546.1,XP_025271279.1,0,614,0,614
XP_012525546.1,XP_025271280.1,0,622,0,622
XP_012525547.1,XP_025271281.1,0,617,0,617
XP_012525548.1,XP_011265694.1,0,959,0,978
XP_012525549.1,XP_019885539.1,0,621,0,590
XP_012525550.1,XP_019885539.1,0,621,0,590
XP_012525551.1,XP_011269304.1,2.00E-122,349,1.00E-130,370
XP_012525552.2,XP_025271292.1,7.00E-42,138,2.00E-42,139
XP_012525553.1,XP_011269299.2,8.00E-57,175,7.00E-57,175
XP_012525553.1,XP_011269305.1,7.00E-60,182,6.00E-60,182
XP_012525554.1,XP_011269301.2,2.00E-52,162,2.00E-52,162
XP_012525554.1,XP_011269302.2,2.00E-52,162,2.00E-52,162
XP_012525554.1,XP_011269303.2,2.00E-52,162,2.00E-52,162
XP_012525554.1,XP_011269306.1,1.00E-54,168,1.00E-54,168
XP_012525555.1,XP_011254469.1,2.00E-158,469,2.00E-160,474
XP_012525556.1,XP_011265694.1,0,959,0,978
XP_012525558.1,XP_011250740.1,0,943,0,953
XP_012525558.1,XP_011250742.1,0,947,0,973
XP_012525558.1,XP_011250743.1,0,944,0,953
XP_012525558.1,XP_011250744.1,0,944,0,953
XP_012525558.1,XP_011250745.1,0,944,0,953
XP_012525558.1,XP_025268918.1,0,944,0,953
XP_012525559.1,XP_011250740.1,0,961,0,952
XP_012525559.1,XP_011250743.1,0,961,0,953
XP_012525559.1,XP_011250744.1,0,961,0,953
XP_012525559.1,XP_011250745.1,0,961,0,953
XP_012525559.1,XP_011250747.1,0,917,0,916
XP_012525559.1,XP_025268918.1,0,961,0,953
XP_012525560.1,XP_011250742.1,0,989,0,991
XP_012525561.1,XP_011250740.1,0,915,0,914
XP_012525561.1,XP_011250743.1,0,915,0,916
XP_012525561.1,XP_011250744.1,0,915,0,916
XP_012525561.1,XP_011250745.1,0,915,0,916
XP_012525561.1,XP_011250747.1,0,933,0,931
XP_012525561.1,XP_025268918.1,0,915,0,916
XP_012525565.1,XP_019882005.1,0,555,0,563
XP_012525565.1,XP_025268922.1,0,555,0,563
XP_012525566.1,XP_011265695.1,0,877,0,895
XP_012525568.1,XP_011250736.1,0,1534,0,1534
XP_012525568.1,XP_011250737.1,0,1534,0,1534
XP_012525568.1,XP_011250738.1,0,1525,0,1525
XP_012525569.1,XP_011250736.1,0,1534,0,1534
XP_012525569.1,XP_011250737.1,0,1534,0,1534
XP_012525569.1,XP_011250738.1,0,1525,0,1525
XP_012525571.1,XP_011250736.1,0,1525,0,1525
XP_012525571.1,XP_011250737.1,0,1525,0,1525
XP_012525571.1,XP_011250738.1,0,1530,0,1530
XP_012525572.1,XP_011250736.1,0,1548,0,1548
XP_012525572.1,XP_011250737.1,0,1548,0,1548
XP_012525572.1,XP_011250738.1,0,1537,0,1537
XP_012525572.1,XP_011250739.1,0,1498,0,1498
XP_012525574.1,XP_011250736.1,0,1499,0,1499
XP_012525574.1,XP_011250737.1,0,1499,0,1499
XP_012525574.1,XP_011250738.1,0,1489,0,1489
XP_012525574.1,XP_011250739.1,0,1509,0,1509
XP_012525575.1,XP_019882003.2,0,1073,0,1065
XP_012525576.1,XP_019882003.2,0,1087,0,1079
XP_012525577.1,XP_011250749.1,3.00E-173,506,9.00E-167,489
XP_012525579.1,XP_011250751.2,0,659,0,659
XP_012525579.1,XP_011250752.2,0,664,0,664
XP_012525580.1,XP_011250734.1,1.00E-85,265,1.00E-85,265
XP_012525580.1,XP_011250735.1,1.00E-85,265,1.00E-85,265
XP_012525580.1,XP_025268956.1,1.00E-85,266,1.00E-85,266
XP_012525580.1,XP_025268965.1,1.00E-85,265,1.00E-85,265
XP_012525582.1,XP_019882784.2,0,949,0,981
XP_012525584.1,XP_011254480.1,1.00E-127,386,2.00E-141,422
XP_012525584.1,XP_011254481.1,1.00E-127,386,2.00E-141,422
XP_012525584.1,XP_011254482.1,1.00E-127,386,2.00E-141,422
XP_012525585.1,XP_011254480.1,1.00E-127,386,2.00E-141,422
XP_012525585.1,XP_011254481.1,1.00E-127,386,2.00E-141,422
XP_012525585.1,XP_011254482.1,1.00E-127,386,2.00E-141,422
XP_012525588.2,XP_011254478.2,0,1102,0,1099
XP_012525588.2,XP_025266987.1,0,1105,0,1102
XP_012525589.1,XP_011254476.2,0,1190,0,1189
XP_012525589.1,XP_011254477.2,0,1192,0,1191
XP_012525589.1,XP_011254478.2,0,1148,0,1147
XP_012525589.1,XP_025266987.1,0,1150,0,1150
XP_012525590.1,XP_011254476.2,0,1149,0,1147
XP_012525590.1,XP_011254477.2,0,1151,0,1150
XP_012525590.1,XP_011254478.2,0,1159,0,1156
XP_012525590.1,XP_025266987.1,0,1162,0,1160
XP_012525591.1,XP_025269037.1,0,2315,0,2308
XP_012525591.1,XP_025269042.1,0,2307,0,2303
XP_012525591.1,XP_025269045.1,0,2283,0,2276
XP_012525593.1,XP_025269037.1,0,2284,0,2276
XP_012525593.1,XP_025269042.1,0,2275,0,2271
XP_012525593.1,XP_025269045.1,0,2291,0,2288
XP_012525594.1,XP_011250731.1,0,515,0,531
XP_012525596.1,XP_011254475.1,6.00E-73,223,5.00E-68,209
XP_012525602.1,XP_011255901.1,0,551,0,580
XP_012525602.1,XP_011255902.1,0,532,0,563
XP_012525602.1,XP_011255905.1,0,531,0,560
XP_012525602.1,XP_025268757.1,0,538,0,566
XP_012525602.1,XP_025268758.1,0,538,0,566
XP_012525604.1,XP_011255903.1,0,809,0,809
XP_012525604.1,XP_025268759.1,0,782,0,782
XP_012525605.1,XP_011255901.1,0,532,0,560
XP_012525605.1,XP_011255902.1,0,532,0,561
XP_012525605.1,XP_011255905.1,0,539,0,567
XP_012525605.1,XP_025268757.1,0,519,0,547
XP_012525605.1,XP_025268758.1,0,519,0,547
XP_012525606.1,XP_011255903.1,0,782,0,782
XP_012525606.1,XP_025268756.1,0,784,0,784
XP_012525606.1,XP_025268759.1,0,790,0,790
XP_012525608.1,XP_011250462.1,0,3437,0,3419
XP_012525608.1,XP_011250463.1,0,3376,0,3358
XP_012525609.1,XP_011250462.1,0,3365,0,3373
XP_012525609.1,XP_011250463.1,0,3379,0,3372
XP_012525613.1,XP_011265323.1,8.00E-162,461,1.00E-156,448
XP_012525615.2,XP_025261844.1,4.00E-37,143,6.00E-38,145
XP_012525616.1,XP_011256534.2,0,1840,0,1874
XP_012525617.1,XP_025271143.1,0,548,0,521
XP_012525618.1,XP_011256529.1,0,521,0,521
XP_012525618.1,XP_011256530.1,0,521,0,521
XP_012525618.1,XP_011256531.1,0,521,0,521
XP_012525619.1,XP_011256528.1,4.00E-128,379,2.00E-128,380
XP_012525621.1,XP_011254237.1,0,1093,0,1087
XP_012525621.1,XP_011254238.1,0,1093,0,1087
XP_012525622.1,XP_011253478.1,3.00E-163,461,4.00E-172,484
XP_012525623.1,XP_011253478.1,3.00E-163,461,4.00E-172,484
XP_012525624.1,XP_011254247.1,0,730,0,730
XP_012525624.1,XP_025270921.1,0,748,0,748
XP_012525625.1,XP_011265321.1,0,1011,0,992
XP_012525641.1,XP_011257371.1,2.00E-109,313,2.00E-109,313
XP_012525641.1,XP_011257372.1,1.00E-105,303,1.00E-105,303
XP_012525642.1,XP_011257371.1,8.00E-106,304,7.00E-106,304
XP_012525642.1,XP_011257372.1,6.00E-110,314,5.00E-110,314
XP_012525644.1,XP_011261017.1,0,716,0,750
XP_012525645.1,XP_019883982.1,0,615,0,615
XP_012525647.1,XP_011260804.1,0,1021,0,1048
XP_012525648.1,XP_011251790.1,0,861,0,842
XP_012525649.1,XP_011251790.1,0,861,0,842
XP_012525652.1,XP_011251790.1,0,861,0,842
XP_012525653.2,XP_011251793.2,0,919,0,923
XP_012525654.1,XP_011251795.1,0,586,0,606
XP_012525654.1,XP_025265551.1,0,566,0,587
XP_012525654.1,XP_025265552.1,0,566,0,587
XP_012525655.1,XP_011251795.1,0,586,0,606
XP_012525655.1,XP_025265551.1,0,566,0,587
XP_012525655.1,XP_025265552.1,0,566,0,587
XP_012525658.1,XP_011251792.1,9.00E-151,424,7.00E-151,424
XP_012525659.1,XP_011251792.1,3.00E-148,417,2.00E-148,417
XP_012525661.1,XP_011251789.2,0,811,0,818
XP_012525662.1,XP_011261188.1,0,1332,0,1331
XP_012525662.1,XP_025268661.1,0,1320,0,1320
XP_012525663.1,XP_011264429.1,0,1264,0,1264
XP_012525663.1,XP_025270955.1,0,1264,0,1264
XP_012525664.1,XP_011261200.1,0,1280,0,1280
XP_012525665.1,XP_011261141.1,0,813,0,792
XP_012525665.1,XP_011261158.1,0,847,0,827
XP_012525665.1,XP_011261167.1,0,847,0,827
XP_012525666.1,XP_011261141.1,0,805,0,785
XP_012525666.1,XP_025268663.1,0,815,0,795
XP_012525667.1,XP_011261214.1,3.00E-174,491,3.00E-174,491
XP_012525667.1,XP_011261242.1,0,512,0,512
XP_012525668.1,XP_011261234.1,5.00E-134,385,3.00E-134,385
XP_012525670.1,XP_011253162.1,0,769,0,839
XP_012525673.1,XP_011255208.1,7.00E-81,243,3.00E-77,234
XP_012525673.1,XP_011255209.1,1.00E-80,243,3.00E-77,234
XP_012525673.1,XP_011255210.1,2.00E-80,242,2.00E-77,234
XP_012525673.1,XP_011255211.1,2.00E-80,241,3.00E-77,233
XP_012525674.1,XP_011255188.1,0,1105,0,1105
XP_012525675.1,XP_011255189.2,6.00E-56,173,4.00E-56,173
XP_012525677.1,XP_011254560.2,0,1045,0,1045
XP_012525679.1,XP_011254559.1,8.00E-166,466,7.00E-166,466
XP_012525680.1,XP_011260580.1,8.00E-139,391,7.00E-139,391
XP_012525682.1,XP_011260578.1,5.00E-55,202,3.00E-24,108
XP_012525684.1,XP_011260576.1,5.00E-147,414,4.00E-147,414
XP_012525684.1,XP_011260577.1,1.00E-148,418,9.00E-149,418
XP_012525685.1,XP_025269478.1,2.00E-79,235,1.00E-79,235
XP_012525686.1,XP_011265417.1,0,2491,0,2514
XP_012525686.1,XP_011265418.1,0,2491,0,2514
XP_012525686.1,XP_011265419.1,0,2491,0,2514
XP_012525686.1,XP_011265420.1,0,2419,0,2451
XP_012525687.1,XP_011259228.1,0,1055,0,1055
XP_012525688.1,XP_011259232.1,0,852,0,852
XP_012525688.1,XP_019883657.1,0,819,0,820
XP_012525689.1,XP_011259232.1,0,822,0,820
XP_012525689.1,XP_019883657.1,0,819,0,833
XP_012525690.1,XP_011261945.1,0,852,0,852
XP_012525690.1,XP_025268208.1,0,842,0,842
XP_012525692.1,XP_011262022.1,0,1122,0,1147
XP_012525692.1,XP_011262023.1,0,1122,0,1147
XP_012525693.1,XP_011258803.1,0,635,0,631
XP_012525694.1,XP_011258803.1,0,639,0,636
XP_012525695.1,XP_011254156.1,0,1257,0,1257
XP_012525695.1,XP_011254157.1,0,1257,0,1257
XP_012525695.1,XP_011254158.1,0,1259,0,1259
XP_012525695.1,XP_011254160.1,0,1259,0,1259
XP_012525695.1,XP_011254161.1,0,1259,0,1259
XP_012525695.1,XP_011254162.1,0,1259,0,1259
XP_012525696.1,XP_011265417.1,0,2491,0,2514
XP_012525696.1,XP_011265418.1,0,2491,0,2514
XP_012525696.1,XP_011265419.1,0,2491,0,2514
XP_012525696.1,XP_011265420.1,0,2419,0,2451
XP_012525698.2,XP_011258807.2,0,1074,0,1074
XP_012525698.2,XP_011258809.2,0,1084,0,1084
XP_012525698.2,XP_019883611.2,0,1069,0,1069
XP_012525698.2,XP_019883612.2,0,1069,0,1069
XP_012525698.2,XP_019883613.2,0,1078,0,1078
XP_012525699.1,XP_011264278.1,3.00E-171,493,3.00E-171,493
XP_012525701.1,XP_011264281.1,0,1009,0,1008
XP_012525701.1,XP_025271041.1,0,1009,0,1008
XP_012525701.1,XP_025271042.1,0,1009,0,1008
XP_012525703.1,XP_011264281.1,0,1009,0,1008
XP_012525703.1,XP_025271041.1,0,1009,0,1008
XP_012525703.1,XP_025271042.1,0,1009,0,1008
XP_012525704.1,XP_011264281.1,0,1009,0,1008
XP_012525704.1,XP_025271041.1,0,1009,0,1008
XP_012525704.1,XP_025271042.1,0,1009,0,1008
XP_012525705.1,XP_011264281.1,0,1009,0,1008
XP_012525705.1,XP_025271041.1,0,1009,0,1008
XP_012525705.1,XP_025271042.1,0,1009,0,1008
XP_012525711.1,XP_011264285.2,4.00E-72,216,3.00E-79,234
XP_012525713.1,XP_011264285.2,4.00E-72,216,3.00E-79,234
XP_012525714.1,XP_011264282.1,0,2150,0,2133
XP_012525714.1,XP_011264283.1,0,2134,0,2115
XP_012525715.1,XP_011264282.1,0,2134,0,2115
XP_012525715.1,XP_011264283.1,0,2141,0,2123
XP_012525716.1,XP_019884623.1,0,608,0,598
XP_012525717.1,XP_019884623.1,0,608,0,598
