agam,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_003437172.1,XP_011256737.1,1.00E-34,124,9.00E-35,124
XP_003437172.1,XP_011256738.1,1.00E-34,124,9.00E-35,124
XP_003437172.1,XP_011256739.1,7.00E-35,124,5.00E-35,124
XP_003437173.1,XP_011256737.1,1.00E-34,124,9.00E-35,124
XP_003437173.1,XP_011256738.1,1.00E-34,124,9.00E-35,124
XP_003437173.1,XP_011256739.1,7.00E-35,124,5.00E-35,124
XP_003437174.1,XP_011256737.1,1.00E-34,124,9.00E-35,124
XP_003437174.1,XP_011256738.1,1.00E-34,124,9.00E-35,124
XP_003437174.1,XP_011256739.1,7.00E-35,124,5.00E-35,124
XP_003437175.1,XP_011256737.1,1.00E-34,124,9.00E-35,124
XP_003437175.1,XP_011256738.1,1.00E-34,124,9.00E-35,124
XP_003437175.1,XP_011256739.1,7.00E-35,124,5.00E-35,124
XP_003437178.1,XP_011265088.2,4.00E-145,430,2.00E-143,424
XP_003437178.1,XP_025265142.1,8.00E-146,431,8.00E-144,424
XP_003437179.1,XP_011265088.2,2.00E-145,430,2.00E-143,424
XP_003437179.1,XP_025265142.1,7.00E-146,430,9.00E-144,424
XP_003437180.1,XP_011260975.1,2.00E-116,352,1.00E-116,351
XP_003437181.1,XP_011259061.1,9.00E-128,372,4.00E-128,372
XP_003437186.1,XP_011259958.1,2.00E-74,222,1.00E-74,222
XP_003437186.1,XP_025263863.1,2.00E-74,222,1.00E-74,222
XP_003437187.1,XP_011266147.1,4.00E-93,287,2.00E-93,287
XP_003437187.1,XP_011266156.1,4.00E-93,287,2.00E-93,287
XP_003437187.1,XP_011266164.1,4.00E-93,287,2.00E-93,287
XP_003437190.1,XP_011266667.1,9.00E-93,275,6.00E-95,279
XP_003437190.1,XP_011266672.1,2.00E-95,281,1.00E-97,286
XP_003437190.1,XP_011266674.1,2.00E-95,281,2.00E-97,285
XP_003437190.1,XP_011266677.1,4.00E-98,288,4.00E-100,292
XP_003437190.1,XP_011266678.1,2.00E-97,286,2.00E-99,290
XP_003437191.1,XP_011266666.1,3.00E-93,276,2.00E-95,281
XP_003437191.1,XP_011266671.1,6.00E-96,283,5.00E-98,287
XP_003437191.1,XP_011266673.1,1.00E-95,282,6.00E-98,286
XP_003437191.1,XP_011266676.1,3.00E-98,288,1.00E-100,293
XP_003437191.1,XP_011266677.1,1.00E-93,276,3.00E-96,282
XP_003437191.1,XP_011266678.1,3.00E-94,278,1.00E-96,283
XP_003437192.1,XP_011266666.1,3.00E-93,276,2.00E-95,281
XP_003437192.1,XP_011266671.1,6.00E-96,283,5.00E-98,287
XP_003437192.1,XP_011266673.1,1.00E-95,282,6.00E-98,286
XP_003437192.1,XP_011266676.1,3.00E-98,288,1.00E-100,293
XP_003437192.1,XP_011266677.1,1.00E-93,276,3.00E-96,282
XP_003437192.1,XP_011266678.1,3.00E-94,278,1.00E-96,283
XP_003437193.1,XP_011266672.1,7.00E-94,277,6.00E-95,278
XP_003437193.1,XP_011266680.1,1.00E-96,283,6.00E-97,283
XP_003437193.1,XP_011266682.1,2.00E-99,290,1.00E-99,290
XP_003437194.1,XP_011266668.1,1.00E-94,279,1.00E-95,280
XP_003437194.1,XP_011266679.1,6.00E-92,271,2.00E-92,271
XP_003437194.1,XP_011266681.1,1.00E-94,278,8.00E-95,277
XP_003437195.1,XP_011254415.1,1.00E-38,139,6.00E-39,139
XP_003437197.1,XP_011267816.1,0,748,0,748
XP_003437197.1,XP_011267817.1,0,750,0,750
XP_003437197.1,XP_019885280.1,0,748,0,748
XP_003437198.1,XP_011267816.1,0,748,0,748
XP_003437198.1,XP_011267817.1,0,750,0,750
XP_003437198.1,XP_019885280.1,0,748,0,748
XP_003437199.1,XP_011267816.1,0,748,0,748
XP_003437199.1,XP_011267817.1,0,750,0,750
XP_003437199.1,XP_019885280.1,0,748,0,748
XP_003437200.1,XP_011267816.1,0,748,0,748
XP_003437200.1,XP_011267817.1,0,750,0,750
XP_003437200.1,XP_019885280.1,0,748,0,748
XP_003437201.1,XP_011267816.1,0,748,0,748
XP_003437201.1,XP_011267817.1,0,750,0,750
XP_003437201.1,XP_019885280.1,0,748,0,748
XP_003437202.1,XP_011267816.1,0,748,0,748
XP_003437202.1,XP_011267817.1,0,750,0,750
XP_003437202.1,XP_019885280.1,0,748,0,748
XP_003437203.1,XP_011267816.1,0,748,0,748
XP_003437203.1,XP_011267817.1,0,750,0,750
XP_003437203.1,XP_019885280.1,0,748,0,748
XP_003437206.1,XP_011267879.1,0,788,0,818
XP_003437207.1,XP_011267879.1,0,788,0,818
XP_003437209.1,XP_011267621.1,0,634,0,634
XP_003437215.1,XP_011260365.1,0,840,0,859
XP_003437215.1,XP_011260366.1,0,840,0,859
XP_003437215.1,XP_011260367.1,0,840,0,859
XP_024667072.1,XP_019882291.2,2.00E-80,255,2.00E-80,254
XP_024667072.1,XP_025265007.1,9.00E-82,256,5.00E-82,256
XP_024667077.1,XP_011263599.1,1.00E-84,261,7.00E-85,261
XP_024667079.1,XP_011257500.1,8.00E-21,84.3,4.00E-21,84.3
XP_024667079.1,XP_011257501.1,8.00E-21,84.3,4.00E-21,84.3
XP_024667080.1,XP_011250445.2,2.00E-51,188,8.00E-52,188
XP_024667080.1,XP_025266439.1,1.00E-52,191,5.00E-53,191
XP_024667080.1,XP_025267836.1,6.00E-53,192,3.00E-53,192
XP_024667082.1,XP_011255184.1,7.00E-17,73.2,4.00E-17,73.2
XP_024667084.1,XP_011266211.1,0,522,0,521
XP_024667092.1,XP_011267080.1,3.00E-77,252,6.00E-62,211
XP_024667097.1,XP_019885397.2,7.00E-13,63.2,5.00E-13,62.4
XP_024667103.1,XP_011260878.1,2.00E-46,150,1.00E-55,173
XP_024667106.1,XP_011252001.1,1.00E-145,409,6.00E-146,409
XP_305994.1,XP_011251471.1,5.00E-150,427,3.00E-150,427
XP_305995.3,XP_011264341.1,1.00E-66,199,4.00E-67,199
XP_305995.3,XP_011265836.1,1.00E-66,199,4.00E-67,199
XP_305995.3,XP_011268846.1,1.00E-66,199,4.00E-67,199
XP_305996.3,XP_011264340.1,4.00E-95,274,2.00E-95,274
XP_305996.3,XP_011265432.1,2.00E-92,267,9.00E-93,267
XP_305996.3,XP_011265433.2,2.00E-92,267,9.00E-93,267
XP_305996.3,XP_011265838.1,4.00E-95,274,2.00E-95,274
XP_305996.3,XP_011268848.1,4.00E-95,274,2.00E-95,274
XP_306004.3,XP_011264341.1,1.00E-66,199,4.00E-67,199
XP_306004.3,XP_011265836.1,1.00E-66,199,4.00E-67,199
XP_306004.3,XP_011268846.1,1.00E-66,199,4.00E-67,199
XP_306101.3,XP_011254351.1,3.00E-49,157,1.00E-49,157
XP_306103.4,XP_011253897.1,1.00E-108,336,8.00E-109,336
XP_306103.4,XP_011253898.1,1.00E-108,336,8.00E-109,336
XP_306103.4,XP_011253899.1,1.00E-108,336,8.00E-109,336
XP_306148.3,XP_011261133.1,1.00E-32,114,1.00E-27,100
XP_306148.3,XP_025262505.1,1.00E-32,114,1.00E-27,100
XP_306246.4,XP_011254090.1,0,952,0,925
XP_306246.4,XP_019882708.1,0,928,0,905
XP_306255.2,XP_011264342.1,6.00E-73,217,2.00E-67,202
XP_306255.2,XP_011264345.1,6.00E-73,217,2.00E-67,202
XP_306255.2,XP_011265835.1,6.00E-73,217,2.00E-67,202
XP_306255.2,XP_011268843.1,6.00E-73,217,2.00E-67,202
XP_306256.1,XP_011252166.1,2.00E-79,234,1.00E-79,234
XP_306256.1,XP_011264339.1,2.00E-83,244,7.00E-84,244
XP_306256.1,XP_011264343.1,1.00E-83,244,4.00E-84,244
XP_306256.1,XP_011268841.1,5.00E-83,243,2.00E-83,243
XP_306256.1,XP_011268873.1,5.00E-83,243,2.00E-83,243
XP_306324.3,XP_011269173.1,3.00E-37,128,1.00E-37,128
XP_306335.4,XP_011264441.1,2.00E-29,117,1.00E-29,117
XP_306539.4,XP_019884062.1,3.00E-14,68.6,2.00E-14,67.8
XP_306739.3,XP_011267400.1,4.00E-71,215,2.00E-71,215
XP_306739.3,XP_025268106.1,4.00E-71,215,2.00E-71,215
XP_306780.4,XP_011252351.1,5.00E-64,199,2.00E-64,199
XP_306825.4,XP_011264341.1,1.00E-66,199,4.00E-67,199
XP_306825.4,XP_011265836.1,1.00E-66,199,4.00E-67,199
XP_306825.4,XP_011268846.1,1.00E-66,199,4.00E-67,199
XP_306831.2,XP_011255817.1,2.00E-70,216,8.00E-71,216
XP_306979.3,XP_011257118.2,3.00E-76,239,1.00E-73,232
XP_306983.4,XP_025265334.1,2.00E-113,348,1.00E-107,332
XP_306983.4,XP_025265335.1,2.00E-113,348,1.00E-107,332
XP_306983.4,XP_025265336.1,2.00E-113,348,1.00E-107,332
XP_306983.4,XP_025265337.1,2.00E-113,348,1.00E-107,332
XP_306983.4,XP_025265338.1,2.00E-113,348,1.00E-107,332
XP_306986.3,XP_011265360.1,6.00E-80,245,2.00E-80,245
XP_307016.3,XP_011267811.1,2.00E-92,276,1.00E-92,276
XP_307016.3,XP_011267819.1,1.00E-92,277,5.00E-93,277
XP_307037.4,XP_011253362.1,2.00E-66,209,1.00E-66,209
XP_307037.4,XP_011253363.1,2.00E-66,209,1.00E-66,209
XP_307037.4,XP_011253364.1,2.00E-66,209,1.00E-66,209
XP_307037.4,XP_011253366.1,2.00E-66,209,1.00E-66,209
XP_307037.4,XP_011253367.1,2.00E-66,209,1.00E-66,209
XP_307037.4,XP_019882574.1,2.00E-66,209,1.00E-66,209
XP_307081.3,XP_011264340.1,5.00E-94,271,2.00E-94,271
XP_307081.3,XP_011265432.1,2.00E-91,265,7.00E-92,265
XP_307081.3,XP_011265433.2,2.00E-91,265,7.00E-92,265
XP_307081.3,XP_011265838.1,5.00E-94,271,2.00E-94,271
XP_307081.3,XP_011268848.1,5.00E-94,271,2.00E-94,271
XP_307082.2,XP_011264342.1,6.00E-73,217,2.00E-67,202
XP_307082.2,XP_011264345.1,6.00E-73,217,2.00E-67,202
XP_307082.2,XP_011265835.1,6.00E-73,217,2.00E-67,202
XP_307082.2,XP_011268843.1,6.00E-73,217,2.00E-67,202
XP_307083.3,XP_011252166.1,2.00E-79,234,1.00E-79,234
XP_307083.3,XP_011264339.1,2.00E-83,244,7.00E-84,244
XP_307083.3,XP_011264343.1,1.00E-83,244,4.00E-84,244
XP_307083.3,XP_011268841.1,5.00E-83,243,2.00E-83,243
XP_307083.3,XP_011268873.1,5.00E-83,243,2.00E-83,243
XP_307095.4,XP_011263173.1,0,785,0,798
XP_307095.4,XP_011263180.1,0,786,0,798
XP_307101.2,XP_011255262.1,6.00E-113,326,2.00E-119,341
XP_307121.4,XP_011268612.1,0,612,0,610
XP_307129.2,XP_011263122.2,4.00E-11,58.2,3.00E-09,51.6
XP_307129.2,XP_019884389.2,6.00E-11,57.8,4.00E-09,51.6
XP_307136.4,XP_011254676.1,9.00E-172,513,1.00E-174,519
XP_307136.4,XP_025264150.1,9.00E-172,513,1.00E-174,519
XP_307136.4,XP_025264151.1,2.00E-173,516,3.00E-176,523
XP_307137.2,XP_011250945.1,2.00E-58,188,9.00E-59,188
XP_307148.3,XP_011267247.1,0,729,0,719
XP_307158.4,XP_011258766.1,7.00E-109,321,3.00E-109,321
XP_307203.4,XP_025269730.1,5.00E-117,381,3.00E-122,395
XP_307209.4,XP_011255162.1,5.00E-31,114,2.00E-37,129
XP_307259.4,XP_011254826.1,0,663,0,635
XP_307264.3,XP_011259337.2,4.00E-31,112,2.00E-32,114
XP_307264.3,XP_019883669.2,4.00E-31,111,2.00E-32,114
XP_307265.4,XP_011268711.1,0,659,0,660
XP_307303.4,XP_011252030.1,2.00E-28,109,1.00E-28,109
XP_307312.2,XP_011258972.1,2.00E-16,70.5,7.00E-25,91.7
XP_307325.4,XP_011256478.1,0,703,0,703
XP_307342.3,XP_011264229.1,4.00E-44,144,2.00E-44,144
XP_307416.4,XP_011253786.1,3.00E-178,534,1.00E-178,534
XP_307418.1,XP_011253767.1,4.00E-46,147,2.00E-46,147
XP_307419.2,XP_011255304.1,0,940,0,941
XP_307419.2,XP_011255305.1,0,941,0,941
XP_307419.2,XP_011255306.1,0,948,0,949
XP_307420.3,XP_011254805.1,6.00E-50,164,2.00E-50,164
XP_307420.3,XP_011254806.1,6.00E-50,164,2.00E-50,164
XP_307420.3,XP_025264339.1,6.00E-50,164,2.00E-50,164
XP_307448.4,XP_011269259.1,4.00E-86,268,2.00E-91,281
XP_307448.4,XP_011269260.1,4.00E-86,268,2.00E-91,281
XP_307497.3,XP_011263615.1,1.00E-26,96.7,5.00E-27,96.7
XP_307498.3,XP_011265973.1,1.00E-81,253,2.00E-81,251
XP_307508.3,XP_011259798.1,6.00E-78,237,3.00E-78,237
XP_307546.1,XP_011251471.1,5.00E-150,427,3.00E-150,427
XP_307559.3,XP_011251717.1,1.00E-79,244,1.00E-78,240
XP_307560.4,XP_011258578.1,2.00E-50,160,6.00E-51,160
XP_307565.4,XP_011264854.1,2.00E-60,195,6.00E-61,196
XP_307565.4,XP_011264855.1,2.00E-60,195,6.00E-61,196
XP_307577.3,XP_025268479.1,9.00E-35,130,7.00E-35,130
XP_307582.4,XP_025271197.1,1.00E-71,221,4.00E-72,221
XP_307590.4,XP_011268363.1,6.00E-41,152,3.00E-41,152
XP_307600.4,XP_011264341.1,1.00E-66,199,4.00E-67,199
XP_307600.4,XP_011265836.1,1.00E-66,199,4.00E-67,199
XP_307600.4,XP_011268846.1,1.00E-66,199,4.00E-67,199
XP_307601.3,XP_011264340.1,4.00E-95,274,2.00E-95,274
XP_307601.3,XP_011265432.1,2.00E-92,267,9.00E-93,267
XP_307601.3,XP_011265433.2,2.00E-92,267,9.00E-93,267
XP_307601.3,XP_011265838.1,4.00E-95,274,2.00E-95,274
XP_307601.3,XP_011268848.1,4.00E-95,274,2.00E-95,274
XP_307606.3,XP_011264340.1,4.00E-95,274,2.00E-95,274
XP_307606.3,XP_011265432.1,2.00E-92,267,9.00E-93,267
XP_307606.3,XP_011265433.2,2.00E-92,267,9.00E-93,267
XP_307606.3,XP_011265838.1,4.00E-95,274,2.00E-95,274
XP_307606.3,XP_011268848.1,4.00E-95,274,2.00E-95,274
XP_307607.3,XP_011264341.1,1.00E-66,199,4.00E-67,199
XP_307607.3,XP_011265836.1,1.00E-66,199,4.00E-67,199
XP_307607.3,XP_011268846.1,1.00E-66,199,4.00E-67,199
XP_307637.2,XP_011256767.1,1.00E-113,327,5.00E-114,327
XP_307644.2,XP_011259418.1,0,573,0,573
XP_307644.2,XP_025266848.1,0,563,0,563
XP_307652.4,XP_011265973.1,1.00E-78,244,5.00E-79,244
XP_307660.4,XP_011268645.1,4.00E-103,306,4.00E-99,295
XP_307671.3,XP_011264014.1,0,533,0,516
XP_307671.3,XP_011264015.1,0,528,4.00E-179,511
XP_307671.3,XP_011264016.1,0,533,0,516
XP_307671.3,XP_011264017.1,0,533,0,516
XP_307675.4,XP_019883526.1,1.00E-27,105,4.00E-28,105
XP_307722.3,XP_011253132.1,4.00E-120,350,2.00E-120,350
XP_307724.4,XP_011264586.1,5.00E-40,135,2.00E-40,135
XP_307731.2,XP_011260270.1,4.00E-37,135,2.00E-37,135
XP_307760.4,XP_025270621.1,6.00E-84,269,3.00E-84,269
XP_307760.4,XP_025270622.1,2.00E-85,273,1.00E-85,273
XP_307760.4,XP_025270623.1,2.00E-84,270,1.00E-84,270
XP_307760.4,XP_025270624.1,2.00E-84,270,1.00E-84,270
XP_307760.4,XP_025270625.1,2.00E-84,270,1.00E-84,270
XP_307760.4,XP_025270626.1,1.00E-85,273,5.00E-86,273
XP_307772.4,XP_011256841.1,3.00E-85,282,4.00E-87,286
XP_307772.4,XP_025264139.1,3.00E-85,282,4.00E-87,286
XP_307773.4,XP_011256166.1,3.00E-21,82.4,1.00E-15,66.6
XP_307774.3,XP_011269321.1,1.00E-91,286,3.00E-85,269
XP_307774.3,XP_025265883.1,1.00E-91,286,3.00E-85,269
XP_307775.3,XP_011252234.1,6.00E-100,306,1.00E-95,294
XP_307776.4,XP_011252477.2,0,533,0,533
XP_307777.3,XP_011254069.1,2.00E-115,346,2.00E-108,327
XP_307780.5,XP_019885102.2,0,7192,0,7140
XP_307781.4,XP_011251360.1,9.00E-72,238,2.00E-71,236
XP_307781.4,XP_011251361.1,9.00E-72,238,2.00E-71,236
XP_307784.1,XP_011266628.1,1.00E-170,486,6.00E-171,486
XP_307786.5,XP_011266415.1,6.00E-172,549,1.00E-172,550
XP_307786.5,XP_025269360.1,6.00E-172,549,1.00E-172,550
XP_307786.5,XP_025269361.1,6.00E-172,549,1.00E-172,550
XP_307788.5,XP_025269567.1,3.00E-22,93.2,3.00E-22,92
XP_307791.5,XP_025266871.1,0,1261,0,1279
XP_307798.4,XP_011262040.1,5.00E-115,338,2.00E-115,338
XP_307804.4,XP_011268213.1,8.00E-161,478,3.00E-161,478
XP_307827.4,XP_011256302.1,0,1150,0,1149
XP_307828.4,XP_011265532.1,2.00E-84,274,2.00E-84,273
XP_307828.4,XP_011265533.1,2.00E-84,274,2.00E-84,273
XP_307839.4,XP_011255879.1,8.00E-111,327,1.00E-110,326
XP_307843.4,XP_011255885.1,3.00E-45,143,1.00E-45,143
XP_307845.4,XP_011260041.1,2.00E-50,172,7.00E-51,172
XP_307845.4,XP_011260050.1,2.00E-50,172,7.00E-51,172
XP_307845.4,XP_025264402.1,2.00E-50,172,7.00E-51,172
XP_307850.4,XP_025269535.1,0,717,0,739
XP_307851.4,XP_011251816.2,2.00E-153,441,1.00E-156,448
XP_307854.2,XP_011264553.1,0,1590,0,1590
XP_307855.3,XP_011264559.1,2.00E-38,125,8.00E-39,125
XP_307858.3,XP_011257355.1,1.00E-123,368,1.00E-130,384
XP_307859.4,XP_011269609.1,0,887,0,855
XP_307863.1,XP_011257658.1,0,649,0,649
XP_307863.1,XP_011257660.1,0,666,0,665
XP_307863.1,XP_011257661.1,0,666,0,665
XP_307863.1,XP_025265953.1,0,666,0,665
XP_307868.4,XP_011257784.1,6.00E-39,143,7.00E-37,136
XP_307868.4,XP_011257785.1,6.00E-39,143,7.00E-37,136
XP_307868.4,XP_011257786.1,6.00E-39,143,7.00E-37,136
XP_307868.4,XP_011257787.1,6.00E-39,143,7.00E-37,136
XP_307871.1,XP_025270226.1,6.00E-158,470,1.00E-152,455
XP_307876.4,XP_011269442.1,0,541,0,541
XP_307877.2,XP_011259964.1,6.00E-57,184,1.00E-50,167
XP_307878.4,XP_011259328.1,3.00E-166,468,1.00E-166,468
XP_307882.4,XP_011257277.2,0,654,0,652
XP_307882.4,XP_011257278.2,0,654,0,652
XP_307884.3,XP_025264181.1,3.00E-84,281,1.00E-82,276
XP_307885.2,XP_011257226.1,7.00E-06,44.7,3.00E-06,44.7
XP_307887.5,XP_025267343.1,0,797,0,778
XP_307887.5,XP_025267344.1,0,766,0,748
XP_307889.3,XP_011255315.2,0,890,0,889
XP_307890.5,XP_011265585.1,0,812,0,787
XP_307890.5,XP_011265587.1,0,812,0,787
XP_307890.5,XP_011265589.1,0,816,0,791
XP_307890.5,XP_025264758.1,0,812,0,787
XP_307892.4,XP_011254711.1,5.00E-64,201,2.00E-64,201
XP_307894.5,XP_011256988.1,3.00E-19,85.1,1.00E-26,105
XP_307895.3,XP_011261421.1,0,1080,0,1064
XP_307896.3,XP_011252029.1,8.00E-56,188,3.00E-64,209
XP_307897.4,XP_011266880.1,2.00E-126,372,1.00E-126,372
XP_307897.4,XP_011266888.1,2.00E-126,372,1.00E-126,372
XP_307897.4,XP_011266898.1,2.00E-126,372,1.00E-126,372
XP_307897.4,XP_025267754.1,4.00E-126,372,3.00E-126,371
XP_307898.5,XP_011256807.1,8.00E-93,280,3.00E-93,280
XP_307899.5,XP_019883704.1,6.00E-155,457,7.00E-151,445
XP_307899.5,XP_019883705.1,6.00E-155,457,7.00E-151,445
XP_307900.5,XP_011258390.1,0,1151,0,1158
XP_307900.5,XP_011258391.1,0,1142,0,1150
XP_307903.2,XP_011267546.1,5.00E-35,117,2.00E-35,117
XP_307911.3,XP_011258475.1,6.00E-148,426,3.00E-148,426
XP_307914.5,XP_011256566.1,2.00E-134,394,2.00E-134,392
XP_307915.5,XP_011258598.1,2.00E-107,335,2.00E-106,331
XP_307916.4,XP_019884117.2,4.00E-170,492,4.00E-168,485
XP_307918.5,XP_011269693.1,5.00E-145,427,4.00E-137,405
XP_307918.5,XP_011269694.1,5.00E-145,427,4.00E-137,405
XP_307918.5,XP_011269695.1,5.00E-145,427,4.00E-137,405
XP_307918.5,XP_011269696.1,5.00E-145,427,4.00E-137,405
XP_307918.5,XP_011269698.1,5.00E-145,427,4.00E-137,405
XP_307918.5,XP_011269699.1,5.00E-145,427,4.00E-137,405
XP_307919.5,XP_011250689.1,0,738,0,709
XP_307919.5,XP_011250690.1,0,738,0,709
XP_307919.5,XP_025262584.1,0,738,0,709
XP_307920.5,XP_011267649.1,0,783,0,763
XP_307920.5,XP_019885228.1,0,773,0,753
XP_307920.5,XP_019885229.1,0,772,0,753
XP_307921.4,XP_011257302.1,0,649,0,648
XP_307921.4,XP_025268553.1,0,649,0,648
XP_307926.5,XP_011251568.1,3.00E-158,446,2.00E-165,463
XP_307928.5,XP_011265216.1,8.00E-39,140,3.00E-39,140
XP_307929.5,XP_011260025.1,1.00E-154,439,4.00E-155,439
XP_307933.4,XP_011264513.1,2.00E-117,333,9.00E-118,333
XP_307936.4,XP_011259026.1,6.00E-132,410,6.00E-132,409
XP_307936.4,XP_011259028.1,6.00E-132,410,6.00E-132,409
XP_307936.4,XP_025267320.1,6.00E-132,410,6.00E-132,409
XP_307937.5,XP_025270999.1,2.00E-60,188,1.00E-56,177
XP_307937.5,XP_025271000.1,2.00E-60,188,1.00E-56,177
XP_307940.5,XP_011253931.1,6.00E-27,97.1,3.00E-27,97.1
XP_307941.3,XP_025270982.1,0,1196,0,1165
XP_307941.3,XP_025270983.1,0,1196,0,1165
XP_307941.3,XP_025270984.1,0,1202,0,1170
XP_307942.5,XP_011268940.1,0,900,0,905
XP_307942.5,XP_019885493.1,0,895,0,900
XP_307942.5,XP_019885494.1,0,900,0,906
XP_307945.5,XP_011260715.1,3.00E-41,140,1.00E-41,140
XP_307945.5,XP_011260716.1,3.00E-41,140,1.00E-41,140
XP_307945.5,XP_019883894.1,3.00E-41,140,1.00E-41,140
XP_307951.5,XP_019884659.2,3.00E-51,172,1.00E-51,172
XP_307953.2,XP_011263434.1,1.00E-166,498,0,536
XP_307957.5,XP_011258560.1,6.00E-88,266,3.00E-88,266
XP_307957.5,XP_025264117.1,2.00E-86,259,9.00E-87,259
XP_307960.1,XP_019884539.1,0,1177,0,1156
XP_307962.4,XP_025270119.1,0,580,0,580
XP_307963.4,XP_025271425.1,2.00E-46,158,2.00E-46,157
XP_307963.4,XP_025271426.1,9.00E-47,158,4.00E-47,158
XP_307965.4,XP_011269382.1,1.00E-109,315,2.00E-110,317
XP_307966.3,XP_011260916.1,8.00E-96,286,1.00E-95,285
XP_307967.5,XP_011251975.1,0,1090,0,1114
XP_307968.3,XP_011264635.1,4.00E-60,192,2.00E-60,192
XP_307970.5,XP_011251774.2,0,2854,0,2823
XP_307970.5,XP_011251775.2,0,2861,0,2830
XP_307970.5,XP_011251776.2,0,2864,0,2833
XP_307970.5,XP_011251778.2,0,2870,0,2838
XP_307970.5,XP_025262615.1,0,2854,0,2823
XP_307993.5,XP_025264822.1,1.00E-157,473,6.00E-146,442
XP_307993.5,XP_025264823.1,1.00E-157,473,6.00E-146,442
XP_307994.5,XP_011268060.1,0,528,0,550
XP_308001.3,XP_011252595.1,0,664,0,664
XP_308002.5,XP_011254998.1,4.00E-113,382,7.00E-110,372
XP_308002.5,XP_011254999.1,4.00E-113,382,7.00E-110,372
XP_308003.4,XP_011263873.1,0,535,0,538
XP_308004.3,XP_011263099.1,0,1075,0,1075
XP_308004.3,XP_025263352.1,0,1075,0,1075
XP_308006.5,XP_011251814.1,3.00E-31,125,1.00E-31,125
XP_308010.5,XP_011257593.1,0,550,0,544
XP_308010.5,XP_025268837.1,0,550,0,545
XP_308010.5,XP_025268838.1,0,547,0,543
XP_308010.5,XP_025268839.1,0,546,0,541
XP_308011.5,XP_011251396.1,2.00E-51,169,8.00E-52,169
XP_308012.5,XP_011267006.1,0,1024,0,1024
XP_308013.5,XP_011253778.1,8.00E-78,246,4.00E-76,241
XP_308014.5,XP_011265655.1,6.00E-179,536,3.00E-169,509
XP_308014.5,XP_011265656.1,9.00E-179,535,3.00E-169,509
XP_308014.5,XP_011265657.1,4.00E-179,536,2.00E-169,509
XP_308015.5,XP_011268593.2,6.00E-144,419,4.00E-152,439
XP_308017.5,XP_011267939.1,0,602,0,592
XP_308018.4,XP_011252682.1,2.00E-105,309,7.00E-106,309
XP_308019.4,XP_011263367.1,5.00E-111,317,2.00E-111,317
XP_308021.4,XP_011264400.1,6.00E-67,207,3.00E-68,209
XP_308023.5,XP_011259845.2,1.00E-38,149,5.00E-39,149
XP_308030.5,XP_011256658.2,0,744,0,766
XP_308033.5,XP_011255462.1,0,873,0,899
XP_308036.5,XP_011250504.1,2.00E-146,436,7.00E-147,436
XP_308036.5,XP_011250512.1,4.00E-149,442,1.00E-149,442
XP_308036.5,XP_011250520.1,4.00E-146,434,7.00E-147,435
XP_308036.5,XP_011250527.1,2.00E-146,435,5.00E-147,435
XP_308041.5,XP_011261335.1,2.00E-71,249,1.00E-75,259
XP_308042.3,XP_011253436.1,0,813,0,791
XP_308042.3,XP_011253437.1,0,817,0,795
XP_308042.3,XP_011253439.1,0,817,0,795
XP_308042.3,XP_011253441.1,0,817,0,795
XP_308042.3,XP_025270295.1,0,817,0,795
XP_308044.2,XP_011264973.1,6.00E-172,497,2.00E-172,497
XP_308045.4,XP_025263932.1,0,1126,0,1126
XP_308045.4,XP_025263934.1,0,1134,0,1134
XP_308045.4,XP_025263935.1,0,1140,0,1140
XP_308045.4,XP_025263943.1,0,1089,0,1089
XP_308045.4,XP_025263945.1,0,1097,0,1097
XP_308051.4,XP_011265834.1,0,638,0,632
XP_308052.4,XP_025264990.1,3.00E-44,169,1.00E-44,170
XP_308052.4,XP_025264991.1,3.00E-44,169,1.00E-44,170
XP_308052.4,XP_025264992.1,3.00E-44,169,1.00E-44,170
XP_308053.4,XP_011262686.1,4.00E-160,491,3.00E-159,488
XP_308054.4,XP_011257375.1,6.00E-132,381,3.00E-132,381
XP_308055.3,XP_011254166.1,4.00E-13,70.5,3.00E-14,72.8
XP_308058.4,XP_011257710.1,2.00E-35,137,6.00E-36,137
XP_308075.2,XP_011255877.1,3.00E-120,355,1.00E-120,355
XP_308076.3,XP_011257185.1,0,559,0,575
XP_308076.3,XP_011257187.1,0,559,0,575
XP_308076.3,XP_011257188.1,0,550,0,566
XP_308076.3,XP_019883296.1,0,559,0,575
XP_308076.3,XP_025268546.1,0,559,0,575
XP_308076.3,XP_025268548.1,0,550,0,566
XP_308076.3,XP_025268549.1,0,550,0,566
XP_308077.2,XP_011258286.1,7.00E-21,81.6,3.00E-21,81.6
XP_308079.4,XP_011265627.1,9.00E-136,390,4.00E-136,390
XP_308079.4,XP_011265628.1,9.00E-136,390,4.00E-136,390
XP_308079.4,XP_011265629.1,2.00E-132,382,8.00E-133,382
XP_308081.2,XP_011260385.1,8.00E-111,319,3.00E-111,319
XP_308082.4,XP_025264453.1,4.00E-114,337,2.00E-114,337
XP_308082.4,XP_025264457.1,4.00E-114,337,2.00E-114,337
XP_308082.4,XP_025264459.1,4.00E-114,337,2.00E-114,337
XP_308082.4,XP_025264460.1,4.00E-114,337,2.00E-114,337
XP_308082.4,XP_025264462.1,4.00E-114,337,2.00E-114,337
