cflo,dmel ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011251818.1,NP_726597.1,0,632,0,640
XP_011251818.1,NP_726599.2,0,623,0,630
XP_011251818.1,NP_726600.1,0,632,0,640
XP_011251818.1,NP_726601.1,0,632,0,640
XP_011251819.1,NP_001014691.2,0,632,0,640
XP_011251819.1,NP_726596.1,0,632,0,640
XP_011251819.1,NP_726597.1,0,632,0,640
XP_011251819.1,NP_726599.2,0,623,0,630
XP_011251819.1,NP_726600.1,0,632,0,640
XP_011251819.1,NP_726601.1,0,632,0,640
XP_011251820.1,NP_001014691.2,0,632,0,640
XP_011251820.1,NP_726596.1,0,632,0,640
XP_011251820.1,NP_726597.1,0,632,0,640
XP_011251820.1,NP_726599.2,0,623,0,630
XP_011251820.1,NP_726600.1,0,632,0,640
XP_011251820.1,NP_726601.1,0,632,0,640
XP_011251821.1,NP_001014691.2,0,632,0,640
XP_011251821.1,NP_726596.1,0,632,0,640
XP_011251821.1,NP_726597.1,0,632,0,640
XP_011251821.1,NP_726599.2,0,623,0,630
XP_011251821.1,NP_726600.1,0,632,0,640
XP_011251821.1,NP_726601.1,0,632,0,640
XP_011251822.1,NP_001014691.2,0,622,0,629
XP_011251822.1,NP_726596.1,0,623,0,630
XP_011251822.1,NP_726597.1,0,623,0,630
XP_011251822.1,NP_726599.2,0,628,0,636
XP_011251822.1,NP_726600.1,0,623,0,630
XP_011251822.1,NP_726601.1,0,623,0,630
XP_011251825.1,NP_001287236.1,2.00E-28,105,4.00E-28,104
XP_011251825.1,NP_731253.1,2.00E-28,105,4.00E-28,104
XP_011251826.1,NP_001287236.1,3.00E-29,106,5.00E-30,108
XP_011251826.1,NP_731253.1,3.00E-29,106,5.00E-30,108
XP_011251827.1,NP_001285220.1,5.00E-34,129,5.00E-34,129
XP_011251827.1,NP_572908.2,5.00E-34,129,5.00E-34,129
XP_011251828.1,NP_001285222.1,1.00E-25,105,6.00E-30,118
XP_011251828.1,NP_001285223.1,1.00E-25,105,6.00E-30,118
XP_011251828.1,NP_572911.1,1.00E-25,105,6.00E-30,118
XP_011251829.1,NP_648047.2,8.00E-158,474,6.00E-158,474
XP_011251830.1,NP_652315.2,8.00E-107,315,1.00E-116,340
XP_011251831.1,NP_652315.2,8.00E-107,315,1.00E-116,340
XP_011251832.1,NP_001163199.1,3.00E-159,451,4.00E-156,443
XP_011251832.1,NP_001163200.1,3.00E-159,451,4.00E-156,443
XP_011251832.1,NP_611355.2,4.00E-158,448,4.00E-155,441
XP_011251832.1,NP_725811.1,4.00E-158,448,4.00E-155,441
XP_011251833.1,NP_001163199.1,3.00E-159,451,4.00E-156,443
XP_011251833.1,NP_001163200.1,3.00E-159,451,4.00E-156,443
XP_011251833.1,NP_611355.2,4.00E-158,448,4.00E-155,441
XP_011251833.1,NP_725811.1,4.00E-158,448,4.00E-155,441
XP_011251837.1,NP_723086.1,1.00E-93,278,1.00E-93,278
XP_011251839.1,NP_723086.1,1.00E-93,278,1.00E-93,278
XP_011251840.1,NP_001285521.1,5.00E-167,487,5.00E-160,469
XP_011251840.1,NP_728438.2,2.00E-163,480,6.00E-156,461
XP_011251840.1,NP_728439.2,5.00E-167,487,5.00E-160,469
XP_011251840.1,NP_728441.1,2.00E-163,481,5.00E-156,462
XP_011251840.1,NP_728442.1,5.00E-167,487,5.00E-160,469
XP_011251840.1,NP_728444.1,2.00E-163,481,5.00E-156,462
XP_011251840.1,NP_728445.1,5.00E-167,487,5.00E-160,469
XP_011251843.1,NP_609805.1,1.00E-137,397,5.00E-143,410
XP_011251900.1,NP_001246569.1,9.00E-127,372,9.00E-127,372
XP_011251900.1,NP_001261330.1,2.00E-127,374,3.00E-127,374
XP_011251900.1,NP_647727.2,4.00E-128,375,5.00E-128,374
XP_011251900.1,NP_728752.1,3.00E-128,374,2.00E-128,374
XP_011251900.1,NP_995969.1,1.00E-127,372,1.00E-127,372
XP_011251900.1,NP_995970.1,2.00E-127,372,2.00E-127,372
XP_011251901.1,NP_001246569.1,2.00E-129,378,2.00E-129,378
XP_011251901.1,NP_001261330.1,5.00E-130,380,8.00E-130,380
XP_011251901.1,NP_647727.2,1.00E-130,380,2.00E-130,380
XP_011251901.1,NP_728752.1,9.00E-131,380,1.00E-130,380
XP_011251901.1,NP_995969.1,7.00E-130,378,6.00E-130,378
XP_011251901.1,NP_995970.1,5.00E-130,378,4.00E-130,378
XP_011251907.1,NP_001261214.1,1.00E-26,107,5.00E-27,108
XP_011251907.1,NP_612037.1,1.00E-26,107,5.00E-27,108
XP_011251917.1,NP_001246384.1,8.00E-123,397,1.00E-125,405
XP_011251917.1,NP_611184.1,8.00E-123,397,1.00E-125,405
XP_011251920.1,NP_611541.1,1.00E-25,96.7,1.00E-34,120
XP_011251921.1,NP_611542.2,9.00E-143,422,3.00E-133,398
XP_011251922.1,NP_611542.2,9.00E-143,422,3.00E-133,398
XP_011251923.1,NP_569968.2,5.00E-174,492,4.00E-174,492
XP_011251925.1,NP_001286442.1,2.00E-103,323,6.00E-95,300
XP_011251930.1,NP_001189074.1,8.00E-114,348,1.00E-110,340
XP_011251930.1,NP_648276.1,8.00E-114,348,1.00E-110,340
XP_011251930.1,NP_729438.1,8.00E-114,348,1.00E-110,340
XP_011251930.1,NP_729439.1,8.00E-114,348,1.00E-110,340
XP_011251938.1,NP_001260363.1,4.00E-159,460,3.00E-152,442
XP_011251938.1,NP_609452.1,8.00E-160,462,5.00E-153,444
XP_011251943.2,NP_647636.3,5.00E-117,345,4.00E-117,345
XP_011251943.2,NP_728647.2,1.00E-122,359,8.00E-123,359
XP_011251946.1,NP_644677.1,0,539,0,539
XP_011251946.1,NP_651466.1,0,556,0,556
XP_011251950.1,NP_524504.2,4.00E-56,180,7.00E-59,187
XP_011251950.1,NP_524505.2,1.00E-54,176,9.00E-55,176
XP_011251951.1,NP_001246759.1,6.00E-14,66.6,5.00E-14,66.6
XP_011251951.1,NP_524073.2,6.00E-14,67,5.00E-14,67
XP_011251951.1,NP_536775.2,6.00E-14,66.6,5.00E-14,66.6
XP_011251952.1,NP_610431.1,0,644,0,646
XP_011251960.1,NP_650552.3,3.00E-41,136,2.00E-36,123
XP_011251961.1,NP_609973.1,1.00E-52,181,1.00E-52,181
XP_011251962.1,NP_001246409.1,3.00E-78,239,3.00E-78,239
XP_011251962.1,NP_001246410.1,3.00E-78,239,3.00E-78,239
XP_011251962.1,NP_001246411.1,3.00E-78,239,3.00E-78,239
XP_011251962.1,NP_611348.1,3.00E-78,239,3.00E-78,239
XP_011251963.2,NP_477186.1,0,1445,0,1449
XP_011251963.2,NP_724569.1,0,1444,0,1447
XP_011251964.2,NP_477186.1,0,1455,0,1459
XP_011251964.2,NP_724569.1,0,1454,0,1459
XP_011251965.2,NP_477186.1,0,1451,0,1455
XP_011251965.2,NP_724569.1,0,1450,0,1453
XP_011251966.2,NP_477186.1,0,1460,0,1464
XP_011251966.2,NP_724569.1,0,1460,0,1463
XP_011251968.2,NP_647837.2,2.00E-57,211,2.00E-68,243
XP_011251974.2,NP_647837.2,2.00E-57,210,2.00E-68,242
XP_011251976.1,NP_650704.1,3.00E-28,103,2.00E-28,103
XP_011251977.1,NP_610462.3,2.00E-103,302,5.00E-92,273
XP_011251978.1,NP_001261892.1,0,1112,0,1111
XP_011251978.1,NP_524989.2,0,1111,0,1110
XP_011251979.1,NP_001261892.1,0,1112,0,1111
XP_011251979.1,NP_524989.2,0,1111,0,1110
XP_011251980.1,NP_001261892.1,0,1108,0,1108
XP_011251980.1,NP_524989.2,0,1108,0,1108
XP_011251981.2,NP_610078.2,8.00E-92,284,9.00E-91,281
XP_011251984.1,NP_729096.1,1.00E-27,108,1.00E-22,94.7
XP_011251986.1,NP_001036321.2,6.00E-79,240,7.00E-77,234
XP_011251986.1,NP_001259785.1,6.00E-79,240,7.00E-77,234
XP_011251987.1,NP_725106.1,7.00E-62,191,3.00E-66,202
XP_011251988.1,NP_725106.1,7.00E-62,191,3.00E-66,202
XP_011251989.1,NP_725106.1,7.00E-62,191,3.00E-66,202
XP_011251990.1,NP_001027161.1,8.00E-70,215,5.00E-78,236
XP_011251990.1,NP_001027162.1,8.00E-70,215,5.00E-78,236
XP_011251990.1,NP_001262407.1,8.00E-70,215,5.00E-78,236
XP_011251990.1,NP_001262408.1,8.00E-70,215,5.00E-78,236
XP_011251990.1,NP_001262409.1,8.00E-70,215,5.00E-78,236
XP_011251990.1,NP_001287246.1,8.00E-70,215,5.00E-78,236
XP_011251991.1,NP_001027161.1,8.00E-70,215,5.00E-78,236
XP_011251991.1,NP_001027162.1,8.00E-70,215,5.00E-78,236
XP_011251991.1,NP_001262407.1,8.00E-70,215,5.00E-78,236
XP_011251991.1,NP_001262408.1,8.00E-70,215,5.00E-78,236
XP_011251991.1,NP_001262409.1,8.00E-70,215,5.00E-78,236
XP_011251991.1,NP_001287246.1,8.00E-70,215,5.00E-78,236
XP_011251992.1,NP_001027161.1,8.00E-70,215,5.00E-78,236
XP_011251992.1,NP_001027162.1,8.00E-70,215,5.00E-78,236
XP_011251992.1,NP_001262407.1,8.00E-70,215,5.00E-78,236
XP_011251992.1,NP_001262408.1,8.00E-70,215,5.00E-78,236
XP_011251992.1,NP_001262409.1,8.00E-70,215,5.00E-78,236
XP_011251992.1,NP_001287246.1,8.00E-70,215,5.00E-78,236
XP_011251993.1,NP_001027161.1,8.00E-70,215,5.00E-78,236
XP_011251993.1,NP_001027162.1,8.00E-70,215,5.00E-78,236
XP_011251993.1,NP_001262407.1,8.00E-70,215,5.00E-78,236
XP_011251993.1,NP_001262408.1,8.00E-70,215,5.00E-78,236
XP_011251993.1,NP_001262409.1,8.00E-70,215,5.00E-78,236
XP_011251993.1,NP_001287246.1,8.00E-70,215,5.00E-78,236
XP_011251994.1,NP_001027161.1,8.00E-70,215,5.00E-78,236
XP_011251994.1,NP_001027162.1,8.00E-70,215,5.00E-78,236
XP_011251994.1,NP_001262407.1,8.00E-70,215,5.00E-78,236
XP_011251994.1,NP_001262408.1,8.00E-70,215,5.00E-78,236
XP_011251994.1,NP_001262409.1,8.00E-70,215,5.00E-78,236
XP_011251994.1,NP_001287246.1,8.00E-70,215,5.00E-78,236
XP_011251995.1,NP_001027161.1,8.00E-70,215,5.00E-78,236
XP_011251995.1,NP_001027162.1,8.00E-70,215,5.00E-78,236
XP_011251995.1,NP_001262407.1,8.00E-70,215,5.00E-78,236
XP_011251995.1,NP_001262408.1,8.00E-70,215,5.00E-78,236
XP_011251995.1,NP_001262409.1,8.00E-70,215,5.00E-78,236
XP_011251995.1,NP_001287246.1,8.00E-70,215,5.00E-78,236
XP_011251996.1,NP_001027161.1,3.00E-68,211,1.00E-76,232
XP_011251996.1,NP_001027162.1,3.00E-68,211,1.00E-76,232
XP_011251996.1,NP_001262407.1,3.00E-68,211,1.00E-76,232
XP_011251996.1,NP_001262408.1,3.00E-68,211,1.00E-76,232
XP_011251996.1,NP_001262409.1,3.00E-68,211,1.00E-76,232
XP_011251996.1,NP_001287246.1,3.00E-68,211,1.00E-76,232
XP_011251999.1,NP_001285823.1,7.00E-61,204,1.00E-55,190
XP_011251999.1,NP_609475.1,7.00E-61,204,1.00E-55,190
XP_011252000.1,NP_001261744.1,1.00E-104,325,3.00E-107,331
XP_011252000.1,NP_001261745.1,6.00E-105,325,2.00E-107,332
XP_011252000.1,NP_648552.1,1.00E-104,325,3.00E-107,331
XP_011252001.1,NP_477170.1,3.00E-148,416,2.00E-148,416
XP_011252001.1,NP_599137.1,3.00E-148,416,2.00E-148,416
XP_011252008.1,NP_523606.1,1.00E-62,197,2.00E-62,196
XP_011252008.1,NP_724248.1,1.00E-62,197,2.00E-62,196
XP_011252009.1,NP_001261743.1,2.00E-96,300,3.00E-98,305
XP_011252010.1,NP_523606.1,1.00E-62,197,2.00E-62,196
XP_011252010.1,NP_724248.1,1.00E-62,197,2.00E-62,196
XP_011252012.1,NP_524931.1,1.00E-89,282,2.00E-117,353
XP_011252013.1,NP_001260447.1,2.00E-121,368,6.00E-125,377
XP_011252013.1,NP_001260448.1,7.00E-124,375,1.00E-127,384
XP_011252013.1,NP_001260449.1,3.00E-120,365,6.00E-124,375
XP_011252013.1,NP_609666.2,7.00E-121,367,2.00E-124,376
XP_011252014.1,NP_001260447.1,2.00E-121,368,6.00E-125,377
XP_011252014.1,NP_001260448.1,7.00E-124,375,1.00E-127,384
XP_011252014.1,NP_001260449.1,3.00E-120,365,6.00E-124,375
XP_011252014.1,NP_609666.2,7.00E-121,367,2.00E-124,376
XP_011252015.1,NP_001260447.1,2.00E-121,368,6.00E-125,377
XP_011252015.1,NP_001260448.1,7.00E-124,375,1.00E-127,384
XP_011252015.1,NP_001260449.1,3.00E-120,365,6.00E-124,375
XP_011252015.1,NP_609666.2,7.00E-121,367,2.00E-124,376
XP_011252016.1,NP_001260447.1,2.00E-121,368,6.00E-125,377
XP_011252016.1,NP_001260448.1,7.00E-124,375,1.00E-127,384
XP_011252016.1,NP_001260449.1,3.00E-120,365,6.00E-124,375
XP_011252016.1,NP_609666.2,7.00E-121,367,2.00E-124,376
XP_011252018.1,NP_001261743.1,5.00E-97,300,4.00E-97,300
XP_011252019.1,NP_001260447.1,5.00E-123,372,1.00E-126,381
XP_011252019.1,NP_001260448.1,3.00E-121,368,6.00E-125,377
XP_011252019.1,NP_001260449.1,3.00E-121,367,6.00E-125,377
XP_011252019.1,NP_609666.2,3.00E-122,370,8.00E-126,379
XP_011252020.1,NP_723827.1,5.00E-132,395,2.00E-135,404
XP_011252023.2,NP_609934.3,5.00E-51,177,4.00E-51,177
XP_011252025.2,NP_609934.3,6.00E-50,172,6.00E-50,172
XP_011252026.1,NP_001285338.1,3.00E-73,220,3.00E-73,220
XP_011252026.1,NP_001285339.1,3.00E-73,220,3.00E-73,220
XP_011252026.1,NP_523376.1,3.00E-73,220,3.00E-73,220
XP_011252026.1,NP_727992.1,3.00E-73,220,3.00E-73,220
XP_011252026.1,NP_727993.1,3.00E-73,220,3.00E-73,220
XP_011252027.1,NP_572805.1,6.00E-08,53.9,9.00E-11,62.8
XP_011252028.1,NP_572805.1,6.00E-08,53.9,9.00E-11,62.8
XP_011252029.1,NP_649252.1,2.00E-62,206,1.00E-56,191
XP_011252030.1,NP_651710.1,9.00E-46,156,8.00E-46,156
XP_011252032.1,NP_001262292.1,2.00E-116,338,2.00E-116,338
XP_011252032.1,NP_649563.1,7.00E-116,337,6.00E-116,337
XP_011252032.1,NP_730972.2,2.00E-116,338,2.00E-116,338
XP_011252032.1,NP_730974.1,8.00E-123,354,7.00E-123,354
XP_011252033.1,NP_001262292.1,2.00E-116,338,2.00E-116,338
XP_011252033.1,NP_649563.1,7.00E-116,337,6.00E-116,337
XP_011252033.1,NP_730972.2,2.00E-116,338,2.00E-116,338
XP_011252033.1,NP_730974.1,8.00E-123,354,7.00E-123,354
XP_011252034.1,NP_001262292.1,5.00E-117,340,4.00E-117,340
XP_011252034.1,NP_649563.1,1.00E-116,338,1.00E-116,338
XP_011252034.1,NP_730972.2,5.00E-117,340,4.00E-117,340
XP_011252034.1,NP_730974.1,8.00E-123,354,7.00E-123,354
XP_011252037.1,NP_001261364.1,0,553,0,591
XP_011252037.1,NP_001261365.1,0,552,0,587
XP_011252037.1,NP_647801.1,0,552,0,587
XP_011252037.1,NP_728856.1,0,552,0,587
XP_011252037.1,NP_728857.1,0,552,0,587
XP_011252037.1,NP_728858.1,0,552,0,587
XP_011252037.1,NP_728859.1,0,552,0,587
XP_011252038.1,NP_001261364.1,0,553,0,591
XP_011252038.1,NP_001261365.1,0,552,0,587
XP_011252038.1,NP_647801.1,0,552,0,587
XP_011252038.1,NP_728856.1,0,552,0,587
XP_011252038.1,NP_728857.1,0,552,0,587
XP_011252038.1,NP_728858.1,0,552,0,587
XP_011252038.1,NP_728859.1,0,552,0,587
XP_011252039.1,NP_001261364.1,0,553,0,591
XP_011252039.1,NP_001261365.1,0,552,0,587
XP_011252039.1,NP_647801.1,0,552,0,587
XP_011252039.1,NP_728856.1,0,552,0,587
XP_011252039.1,NP_728857.1,0,552,0,587
XP_011252039.1,NP_728858.1,0,552,0,587
XP_011252039.1,NP_728859.1,0,552,0,587
XP_011252040.1,NP_001036581.1,0,724,0,706
XP_011252040.1,NP_001036582.1,0,713,0,693
XP_011252040.1,NP_001036583.1,0,718,0,698
XP_011252040.1,NP_001036584.1,0,718,0,698
XP_011252040.1,NP_001036585.1,0,718,0,698
XP_011252040.1,NP_001036586.1,0,722,0,701
XP_011252040.1,NP_001163340.1,0,718,0,698
XP_011252040.1,NP_001189042.1,0,724,0,706
XP_011252040.1,NP_001261373.1,0,721,0,701
XP_011252040.1,NP_523904.1,0,720,0,702
XP_011252040.1,NP_728888.1,0,720,0,702
XP_011252040.1,NP_728889.1,0,722,0,701
XP_011252040.1,NP_728890.1,0,722,0,701
XP_011252040.1,NP_728891.1,0,722,0,701
XP_011252042.1,NP_001036581.1,0,722,0,703
XP_011252042.1,NP_001036582.1,0,713,0,693
XP_011252042.1,NP_001036583.1,0,718,0,698
XP_011252042.1,NP_001036584.1,0,718,0,698
XP_011252042.1,NP_001036585.1,0,718,0,698
XP_011252042.1,NP_001036586.1,0,722,0,701
XP_011252042.1,NP_001163340.1,0,718,0,698
XP_011252042.1,NP_001189042.1,0,722,0,703
XP_011252042.1,NP_001261373.1,0,718,0,699
XP_011252042.1,NP_523904.1,0,717,0,699
XP_011252042.1,NP_728888.1,0,717,0,699
XP_011252042.1,NP_728889.1,0,722,0,701
XP_011252042.1,NP_728890.1,0,722,0,701
XP_011252042.1,NP_728891.1,0,722,0,701
XP_011252043.1,NP_001036581.1,0,717,0,698
XP_011252043.1,NP_001036582.1,0,713,0,692
XP_011252043.1,NP_001036583.1,0,714,0,694
XP_011252043.1,NP_001036584.1,0,714,0,694
XP_011252043.1,NP_001036585.1,0,714,0,694
XP_011252043.1,NP_001036586.1,0,718,0,697
XP_011252043.1,NP_001163340.1,0,714,0,694
XP_011252043.1,NP_001189042.1,0,717,0,698
XP_011252043.1,NP_001261373.1,0,714,0,694
XP_011252043.1,NP_523904.1,0,714,0,694
XP_011252043.1,NP_728888.1,0,714,0,694
XP_011252043.1,NP_728889.1,0,718,0,697
XP_011252043.1,NP_728890.1,0,718,0,697
XP_011252043.1,NP_728891.1,0,718,0,697
XP_011252045.1,NP_001246546.1,0,1085,0,1062
XP_011252045.1,NP_001261258.1,0,1085,0,1062
XP_011252045.1,NP_647617.2,0,1085,0,1062
XP_011252045.1,NP_728614.1,0,1087,0,1065
XP_011252045.1,NP_728615.1,0,1087,0,1065
XP_011252045.1,NP_728616.1,0,1085,0,1062
XP_011252045.1,NP_728617.1,0,1085,0,1062
XP_011252045.1,NP_728618.1,0,1085,0,1062
XP_011252046.1,NP_001262040.1,0,776,0,776
XP_011252046.1,NP_001287113.1,0,776,0,776
XP_011252046.1,NP_524156.1,0,776,0,776
XP_011252048.1,NP_610813.3,4.00E-97,292,4.00E-97,292
XP_011252062.1,NP_649026.1,1.00E-108,354,7.00E-114,368
XP_011252065.1,NP_572373.1,6.00E-39,132,2.00E-40,135
XP_011252068.1,NP_730525.2,9.00E-52,183,8.00E-49,175
XP_011252069.2,NP_536776.2,2.00E-77,263,2.00E-77,263
XP_011252075.1,NP_476962.1,0,603,0,635
XP_011252076.1,NP_476962.1,0,603,0,634
XP_011252077.1,NP_652610.1,0,1318,0,1324
XP_011252078.1,NP_650956.1,0,573,0,568
XP_011252079.1,NP_650956.1,0,576,0,571
XP_011252080.1,NP_650956.1,0,573,0,568
XP_011252088.1,NP_611332.1,0,649,0,683
XP_011252093.1,NP_001262104.1,0,852,0,852
XP_011252093.1,NP_001262105.1,0,822,0,822
XP_011252093.1,NP_649210.1,0,865,0,865
XP_011252093.1,NP_730517.1,0,865,0,865
XP_011252093.1,NP_730518.1,0,865,0,865
XP_011252093.1,NP_730519.1,0,865,0,865
XP_011252093.1,NP_730520.1,0,865,0,865
XP_011252093.1,NP_788547.1,0,865,0,865
XP_011252094.1,NP_001262104.1,0,870,0,870
XP_011252094.1,NP_649210.1,0,852,0,852
XP_011252094.1,NP_730517.1,0,852,0,852
XP_011252094.1,NP_730518.1,0,852,0,852
XP_011252094.1,NP_730519.1,0,852,0,852
XP_011252094.1,NP_730520.1,0,852,0,852
XP_011252094.1,NP_788547.1,0,852,0,852
XP_011252095.1,NP_001262104.1,0,870,0,870
XP_011252095.1,NP_649210.1,0,852,0,852
XP_011252095.1,NP_730517.1,0,852,0,852
XP_011252095.1,NP_730518.1,0,852,0,852
XP_011252095.1,NP_730519.1,0,852,0,852
XP_011252095.1,NP_730520.1,0,852,0,852
XP_011252095.1,NP_788547.1,0,852,0,852
XP_011252096.2,NP_610097.2,5.00E-150,461,9.00E-149,457
XP_011252111.1,NP_001286891.1,3.00E-75,231,1.00E-82,249
XP_011252111.1,NP_612062.1,3.00E-75,231,1.00E-82,249
XP_011252111.1,NP_728548.1,3.00E-75,231,1.00E-82,249
XP_011252120.1,NP_001286891.1,3.00E-75,231,1.00E-82,249
XP_011252120.1,NP_612062.1,3.00E-75,231,1.00E-82,249
XP_011252120.1,NP_728548.1,3.00E-75,231,1.00E-82,249
XP_011252123.2,NP_001259381.1,0,981,0,981
XP_011252123.2,NP_652604.2,0,987,0,987
XP_011252126.1,NP_001097340.1,1.00E-47,162,9.00E-48,162
XP_011252126.1,NP_726740.1,2.00E-45,157,2.00E-45,157
XP_011252128.3,NP_001285156.1,6.00E-124,423,2.00E-111,387
XP_011252128.3,NP_572806.2,2.00E-128,423,1.00E-115,387
XP_011252128.3,NP_727617.2,6.00E-124,424,2.00E-111,387
XP_011252132.1,NP_477507.1,0,1066,0,1073
XP_011252132.1,NP_599130.1,0,1066,0,1073
XP_011252132.1,NP_725586.1,0,1056,0,1056
XP_011252132.1,NP_995856.2,0,1066,0,1073
XP_011252140.1,NP_001286335.1,4.00E-129,390,3.00E-133,400
XP_011252140.1,NP_610743.2,4.00E-129,390,3.00E-133,400
XP_011252140.1,NP_610744.1,5.00E-136,408,4.00E-136,408
XP_011252149.2,NP_001245826.1,0,1024,0,1019
XP_011252149.2,NP_001285554.1,0,1024,0,1019
XP_011252149.2,NP_523447.2,0,1024,0,1019
XP_011252149.2,NP_722648.2,0,1024,0,1019
XP_011252151.1,NP_001162844.1,0,655,0,634
XP_011252151.1,NP_001162845.1,0,636,0,616
XP_011252151.1,NP_477427.1,0,636,0,616
XP_011252152.1,NP_001162844.1,0,655,0,634
XP_011252152.1,NP_001162845.1,0,636,0,615
XP_011252152.1,NP_477427.1,0,636,0,615
XP_011252155.1,NP_001262722.1,1.00E-70,220,1.00E-70,220
XP_011252155.1,NP_524399.1,1.00E-70,220,1.00E-70,220
XP_011252158.1,NP_001097078.1,0,910,0,910
XP_011252158.1,NP_001097079.1,0,912,0,912
XP_011252158.1,NP_523471.2,0,912,0,912
XP_011252158.1,NP_722971.1,0,912,0,912
XP_011252160.1,NP_001033865.1,0,995,0,1003
XP_011252160.1,NP_608494.2,0,995,0,1003
XP_011252160.1,NP_722605.1,0,998,0,1004
XP_011252160.1,NP_995603.2,0,998,0,1004
XP_011252163.1,NP_001033865.1,0,995,0,1003
XP_011252163.1,NP_608494.2,0,995,0,1003
XP_011252163.1,NP_722605.1,0,995,0,1001
XP_011252163.1,NP_995603.2,0,995,0,1001
XP_011252166.1,NP_001027292.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027301.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027306.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027311.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027316.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027321.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027326.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027331.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027336.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027341.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027346.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027351.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027356.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027361.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027366.1,3.00E-79,233,3.00E-79,233
XP_011252166.1,NP_001027371.1,3.00E-79,233,3.00E-79,233
XP_011252166.1,NP_001027376.1,3.00E-79,233,3.00E-79,233
XP_011252166.1,NP_001027381.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_001027386.1,3.00E-79,234,2.00E-79,234
XP_011252166.1,NP_724343.1,3.00E-79,234,2.00E-79,234
XP_011252167.1,NP_648167.1,6.00E-104,312,3.00E-101,305
XP_011252169.1,NP_001033861.1,5.00E-167,496,4.00E-168,499
XP_011252169.1,NP_001033862.1,5.00E-167,496,4.00E-168,499
XP_011252169.1,NP_608493.2,5.00E-167,496,4.00E-168,499
XP_011252169.1,NP_722602.1,5.00E-167,496,4.00E-168,499
XP_011252169.1,NP_722603.1,5.00E-167,496,4.00E-168,499
XP_011252169.1,NP_722604.1,5.00E-167,496,4.00E-168,499
XP_011252170.1,NP_524100.1,1.00E-62,210,2.00E-62,209
XP_011252171.1,NP_001287386.1,2.00E-94,273,2.00E-94,273
XP_011252171.1,NP_524728.2,2.00E-94,273,2.00E-94,273
XP_011252171.1,NP_996231.1,2.00E-94,273,2.00E-94,273
XP_011252179.1,NP_650283.1,1.00E-168,483,2.00E-170,487
XP_011252179.1,NP_731804.1,1.00E-168,483,2.00E-170,487
XP_011252179.1,NP_731805.1,1.00E-168,483,2.00E-170,487
XP_011252179.1,NP_731806.1,1.00E-168,483,2.00E-170,487
XP_011252179.1,NP_731807.1,1.00E-168,483,2.00E-170,487
XP_011252186.2,NP_731930.3,0,1644,0,1628
XP_011252187.1,NP_001033991.1,5.00E-63,216,9.00E-61,209
XP_011252191.1,NP_001033991.1,4.00E-63,215,1.00E-60,208
XP_011252197.1,NP_001033991.1,8.00E-64,216,2.00E-61,209
XP_011252200.1,NP_001247312.1,2.00E-42,141,1.00E-42,141
XP_011252200.1,NP_733139.1,2.00E-42,141,1.00E-42,141
XP_011252201.1,NP_001285245.1,0,573,0,552
XP_011252201.1,NP_572968.1,0,573,0,552
XP_011252204.1,NP_001287407.1,9.00E-50,157,8.00E-50,157
XP_011252204.1,NP_477437.1,9.00E-50,157,8.00E-50,157
XP_011252205.1,NP_611467.1,0,653,0,634
XP_011252206.1,NP_001286300.1,6.00E-120,365,1.00E-123,374
XP_011252206.1,NP_610620.1,6.00E-120,365,1.00E-123,374
XP_011252207.1,NP_650646.1,2.00E-40,143,1.00E-40,143
XP_011252208.1,NP_650646.1,5.00E-42,147,4.00E-42,147
XP_011252216.2,NP_524341.3,0,707,0,716
XP_011252219.1,NP_001246018.1,3.00E-148,474,2.00E-143,462
XP_011252219.1,NP_609610.2,3.00E-148,474,2.00E-143,462
XP_011252220.1,NP_001246018.1,3.00E-148,474,2.00E-143,462
XP_011252220.1,NP_609610.2,3.00E-148,474,2.00E-143,462
XP_011252221.1,NP_001246018.1,9.00E-145,465,4.00E-139,450
XP_011252221.1,NP_609610.2,9.00E-145,465,4.00E-139,450
XP_011252222.1,NP_001188767.1,2.00E-123,377,2.00E-123,377
XP_011252222.1,NP_001285791.1,7.00E-125,382,7.00E-125,382
XP_011252222.1,NP_609336.3,7.00E-125,382,7.00E-125,382
XP_011252223.1,NP_730291.1,5.00E-72,225,2.00E-74,231
XP_011252224.2,NP_608811.2,1.00E-166,511,1.00E-164,505
