amel,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_006565772.2,XP_011266551.2,0,1199,0,1303
XP_006565772.2,XP_019885013.2,0,1251,0,1355
XP_006565773.2,XP_011266544.2,0,1243,0,1347
XP_006565773.2,XP_011266546.2,0,1226,0,1329
XP_006565773.2,XP_011266547.2,0,1204,0,1308
XP_006565773.2,XP_011266548.2,0,1206,0,1316
XP_006565773.2,XP_011266550.2,0,1229,0,1345
XP_006565773.2,XP_011266551.2,0,1192,0,1294
XP_006565773.2,XP_019885013.2,0,1243,0,1347
XP_006565774.2,XP_011266544.2,0,1234,0,1338
XP_006565774.2,XP_011266546.2,0,1247,0,1350
XP_006565774.2,XP_011266547.2,0,1197,0,1300
XP_006565774.2,XP_011266548.2,0,1197,0,1307
XP_006565774.2,XP_011266550.2,0,1221,0,1337
XP_006565774.2,XP_019885013.2,0,1234,0,1338
XP_006565775.2,XP_011266544.2,0,1212,0,1316
XP_006565775.2,XP_011266546.2,0,1195,0,1300
XP_006565775.2,XP_011266547.2,0,1223,0,1326
XP_006565775.2,XP_011266548.2,0,1175,0,1287
XP_006565775.2,XP_011266550.2,0,1199,0,1316
XP_006565775.2,XP_011266551.2,0,1206,0,1310
XP_006565775.2,XP_019885013.2,0,1212,0,1316
XP_006565775.2,XP_025269984.1,0,1186,0,1296
XP_006565775.2,XP_025269985.1,0,1169,0,1280
XP_006565776.2,XP_011266544.2,0,1216,0,1316
XP_006565776.2,XP_011266546.2,0,1198,0,1300
XP_006565776.2,XP_011266547.2,0,1177,0,1280
XP_006565776.2,XP_011266548.2,0,1224,0,1324
XP_006565776.2,XP_011266550.2,0,1202,0,1316
XP_006565776.2,XP_011266551.2,0,1164,0,1265
XP_006565776.2,XP_019885013.2,0,1216,0,1316
XP_006565776.2,XP_025269984.1,0,1186,0,1286
XP_006565776.2,XP_025269985.1,0,1172,0,1274
XP_006565777.2,XP_011266544.2,0,1214,0,1318
XP_006565777.2,XP_011266546.2,0,1196,0,1301
XP_006565777.2,XP_011266547.2,0,1224,0,1328
XP_006565777.2,XP_011266548.2,0,1176,0,1288
XP_006565777.2,XP_011266550.2,0,1200,0,1315
XP_006565777.2,XP_011266551.2,0,1206,0,1310
XP_006565777.2,XP_019885013.2,0,1214,0,1318
XP_006565777.2,XP_025269984.1,0,1187,0,1296
XP_006565777.2,XP_025269985.1,0,1169,0,1280
XP_006565778.2,XP_011266544.2,0,1217,0,1318
XP_006565778.2,XP_011266546.2,0,1199,0,1301
XP_006565778.2,XP_011266547.2,0,1178,0,1280
XP_006565778.2,XP_011266548.2,0,1226,0,1325
XP_006565778.2,XP_011266550.2,0,1203,0,1316
XP_006565778.2,XP_019885013.2,0,1217,0,1318
XP_006565778.2,XP_025269984.1,0,1187,0,1287
XP_006565778.2,XP_025269985.1,0,1172,0,1274
XP_006565779.2,XP_011266544.2,0,1201,0,1303
XP_006565779.2,XP_011266546.2,0,1183,0,1287
XP_006565779.2,XP_011266547.2,0,1206,0,1310
XP_006565779.2,XP_011266548.2,0,1165,0,1274
XP_006565779.2,XP_011266550.2,0,1187,0,1303
XP_006565779.2,XP_011266551.2,0,1209,0,1312
XP_006565779.2,XP_019885013.2,0,1201,0,1303
XP_006565779.2,XP_025269984.1,0,1171,0,1281
XP_006565779.2,XP_025269985.1,0,1174,0,1283
XP_006565781.2,XP_011266547.2,0,1172,0,1274
XP_006565781.2,XP_011266548.2,0,1175,0,1273
XP_006565781.2,XP_011266551.2,0,1175,0,1276
XP_006565781.2,XP_025269984.1,0,1181,0,1281
XP_006565781.2,XP_025269985.1,0,1184,0,1284
XP_006565783.1,XP_011262189.1,1.00E-39,139,2.00E-57,185
XP_006565786.2,XP_011268830.1,5.00E-11,56.6,4.00E-07,45.4
XP_006565787.1,XP_011268842.2,0,947,0,959
XP_006565787.1,XP_011268849.1,0,923,0,936
XP_006565788.1,XP_011268842.2,0,923,0,935
XP_006565788.1,XP_011268849.1,0,922,0,935
XP_006565792.1,XP_025269962.1,0,1552,0,1568
XP_006565793.1,XP_025269962.1,0,1552,0,1568
XP_006565794.1,XP_025269962.1,0,1552,0,1568
XP_006565795.1,XP_025269962.1,0,1552,0,1568
XP_006565796.1,XP_025269962.1,0,1557,0,1573
XP_006565799.2,XP_011269072.1,0,5686,0,5698
XP_006565800.2,XP_011269072.1,0,5686,0,5698
XP_006565801.1,XP_011262196.1,6.00E-59,185,7.00E-59,185
XP_006565802.2,XP_011262194.2,0,1690,0,1737
XP_006565809.1,XP_011269342.1,5.00E-152,439,6.00E-152,439
XP_006565811.2,XP_011269347.1,7.00E-156,444,3.00E-149,428
XP_006565811.2,XP_011269348.1,7.00E-156,444,3.00E-149,428
XP_006565834.1,XP_019884910.2,0,1335,0,1399
XP_006565834.1,XP_025269763.1,0,1341,0,1404
XP_006565834.1,XP_025269764.1,0,1358,0,1421
XP_006565834.1,XP_025269765.1,0,1327,0,1389
XP_006565834.1,XP_025269766.1,0,1319,0,1382
XP_006565834.1,XP_025269767.1,0,1315,0,1377
XP_006565834.1,XP_025269768.1,0,1312,0,1375
XP_006565834.1,XP_025269769.1,0,1306,0,1371
XP_006565834.1,XP_025269770.1,0,1316,0,1381
XP_006565834.1,XP_025269771.1,0,1296,0,1359
XP_006565834.1,XP_025269773.1,0,1294,0,1359
XP_006565834.1,XP_025269774.1,0,1330,0,1347
XP_006565834.1,XP_025269775.1,0,1317,0,1333
XP_006565836.1,XP_011266319.1,0,1115,0,1112
XP_006565837.1,XP_011266319.1,0,1115,0,1112
XP_006565838.1,XP_011266319.1,0,1115,0,1112
XP_006565841.1,XP_011264208.1,0,1091,0,1055
XP_006565842.1,XP_011264204.1,0,796,0,789
XP_006565842.1,XP_011264205.1,0,796,0,789
XP_006565854.1,XP_011264216.1,0,915,0,885
XP_006565854.1,XP_025269788.1,0,915,0,885
XP_006565855.1,XP_011264216.1,0,915,0,885
XP_006565855.1,XP_025269788.1,0,915,0,885
XP_006565856.1,XP_011264216.1,0,915,0,885
XP_006565856.1,XP_025269788.1,0,915,0,885
XP_006565859.2,XP_011264218.1,0,687,0,676
XP_006565859.2,XP_019884620.1,0,687,0,676
XP_006565860.3,XP_011264218.1,0,706,0,695
XP_006565860.3,XP_019884620.1,0,706,0,695
XP_006565861.2,XP_011264218.1,0,707,0,696
XP_006565861.2,XP_019884620.1,0,707,0,696
XP_006565862.1,XP_011264222.1,0,561,0,561
XP_006565864.2,XP_025264576.1,0,3422,0,3410
XP_006565866.1,XP_011252613.1,0,2437,0,2442
XP_006565866.1,XP_011252614.1,0,2428,0,2433
XP_006565866.1,XP_011252615.1,0,2399,0,2404
XP_006565867.1,XP_011252613.1,0,2428,0,2436
XP_006565867.1,XP_011252614.1,0,2434,0,2440
XP_006565867.1,XP_011252615.1,0,2390,0,2398
XP_006565868.1,XP_011252613.1,0,2399,0,2407
XP_006565868.1,XP_011252614.1,0,2391,0,2397
XP_006565868.1,XP_011252615.1,0,2411,0,2420
XP_006565869.1,XP_011252613.1,0,2349,0,2358
XP_006565869.1,XP_011252614.1,0,2344,0,2354
XP_006565869.1,XP_011252615.1,0,2312,0,2319
XP_006565870.1,XP_011252613.1,0,2345,0,2355
XP_006565870.1,XP_011252614.1,0,2345,0,2354
XP_006565870.1,XP_011252615.1,0,2309,0,2317
XP_006565871.1,XP_011252617.1,0,2319,0,2328
XP_006565887.1,XP_011257862.2,0,598,0,598
XP_006565897.2,XP_011257825.1,0,2155,0,2159
XP_006565897.2,XP_011257826.1,0,2152,0,2155
XP_006565897.2,XP_025265280.1,0,2155,0,2159
XP_006565899.1,XP_011269411.1,4.00E-87,256,4.00E-87,256
XP_006565899.1,XP_011269413.1,4.00E-87,256,4.00E-87,256
XP_006565899.1,XP_011269416.1,4.00E-87,256,4.00E-87,256
XP_006565899.1,XP_011269417.1,4.00E-87,256,4.00E-87,256
XP_006565899.1,XP_019885567.1,4.00E-87,256,4.00E-87,256
XP_006565899.1,XP_025270614.1,4.00E-87,256,4.00E-87,256
XP_006565900.1,XP_011269411.1,4.00E-87,256,4.00E-87,256
XP_006565900.1,XP_011269413.1,4.00E-87,256,4.00E-87,256
XP_006565900.1,XP_011269416.1,4.00E-87,256,4.00E-87,256
XP_006565900.1,XP_011269417.1,4.00E-87,256,4.00E-87,256
XP_006565900.1,XP_019885567.1,4.00E-87,256,4.00E-87,256
XP_006565900.1,XP_025270614.1,4.00E-87,256,4.00E-87,256
XP_006565903.1,XP_011269406.1,1.00E-67,213,1.00E-78,241
XP_006565903.1,XP_025270628.1,1.00E-67,213,1.00E-78,241
XP_006565903.1,XP_025270629.1,1.00E-67,213,1.00E-78,241
XP_006565907.2,XP_019885105.1,0,1190,0,1189
XP_006565907.2,XP_019885106.1,0,1181,0,1181
XP_006565907.2,XP_025269417.1,0,1190,0,1189
XP_006565909.1,XP_011263534.1,1.00E-141,402,1.00E-141,402
XP_006565909.1,XP_011263535.1,3.00E-144,409,4.00E-144,409
XP_006565910.1,XP_011263534.1,6.00E-144,408,6.00E-144,408
XP_006565910.1,XP_011263535.1,2.00E-146,414,2.00E-146,414
XP_006565917.1,XP_025269583.1,0,575,0,606
XP_006565917.1,XP_025269587.1,0,578,0,608
XP_006565918.1,XP_025269583.1,0,580,0,610
XP_006565918.1,XP_025269587.1,0,582,0,613
XP_006565919.1,XP_025269606.1,1.00E-177,504,0,515
XP_006565920.1,XP_025269595.1,4.00E-177,505,0,533
XP_006565920.1,XP_025269604.1,4.00E-178,505,0,535
XP_006565921.1,XP_025269606.1,1.00E-178,507,2.00E-173,493
XP_006565922.1,XP_025263682.1,0,1983,0,1944
XP_006565924.2,XP_011254702.1,0,1548,0,1538
XP_006565924.2,XP_011254704.1,0,1548,0,1538
XP_006565924.2,XP_011254705.1,0,1548,0,1538
XP_006565925.2,XP_011254702.1,0,1548,0,1538
XP_006565925.2,XP_011254704.1,0,1548,0,1538
XP_006565925.2,XP_011254705.1,0,1548,0,1538
XP_006565926.2,XP_011254706.1,0,1342,0,1335
XP_006565926.2,XP_011254707.1,0,1390,0,1383
XP_006565926.2,XP_019882834.1,0,1339,0,1332
XP_006565926.2,XP_025270287.1,0,1390,0,1383
XP_006565929.1,XP_011255035.1,1.00E-42,142,2.00E-42,142
XP_006565930.1,XP_011267451.1,0,2882,0,2882
XP_006565930.1,XP_025264628.1,0,2886,0,2886
XP_006565931.3,XP_011267097.1,0,1070,0,1072
XP_006565932.2,XP_011267096.1,0,1070,0,1072
XP_006565935.1,XP_025270803.1,1.00E-140,395,7.00E-137,386
XP_006565937.2,XP_025269161.1,0,767,0,753
XP_006565948.1,XP_019883392.1,1.00E-174,499,1.00E-174,499
XP_006565948.1,XP_019883396.1,3.00E-170,487,3.00E-170,487
XP_006565969.1,XP_019883386.2,2.00E-148,431,2.00E-148,431
XP_006565969.1,XP_025265294.1,2.00E-156,452,2.00E-156,452
XP_006565969.1,XP_025265297.1,1.00E-148,432,4.00E-155,449
XP_006565969.1,XP_025265302.1,3.00E-153,444,2.00E-153,445
XP_006565970.2,XP_025265294.1,9.00E-163,468,1.00E-162,468
XP_006565974.1,XP_011257840.1,0,652,0,679
XP_006565976.1,XP_011269429.1,0,1229,0,1224
XP_006565976.1,XP_011269430.1,0,1229,0,1224
XP_006565976.1,XP_011269431.1,0,1229,0,1224
XP_006565977.1,XP_011269433.1,8.00E-85,249,9.00E-85,249
XP_006565978.1,XP_011255479.1,0,1703,0,1689
XP_006565979.1,XP_011255480.2,0,602,0,629
XP_006565979.1,XP_011255481.2,0,602,0,629
XP_006565980.1,XP_011255480.2,0,602,0,629
XP_006565980.1,XP_011255481.2,0,602,0,629
XP_006565982.1,XP_011255482.2,2.00E-168,483,1.00E-178,509
XP_006565982.1,XP_011255483.2,2.00E-168,483,1.00E-178,509
XP_006565983.2,XP_011255484.1,2.00E-121,356,3.00E-121,356
XP_006565984.1,XP_011255489.1,0,682,0,663
XP_006565984.1,XP_011255493.1,0,688,0,669
XP_006565984.1,XP_025264143.1,0,682,0,663
XP_006565985.1,XP_011255489.1,0,682,0,663
XP_006565985.1,XP_011255493.1,0,688,0,669
XP_006565985.1,XP_025264143.1,0,682,0,663
XP_006565986.1,XP_011255487.2,2.00E-60,195,2.00E-60,195
XP_006565987.1,XP_011255487.2,2.00E-60,195,2.00E-60,195
XP_006565988.1,XP_025264141.1,2.00E-61,187,2.00E-61,187
XP_006565990.1,XP_011254700.1,0,742,0,699
XP_006565999.1,XP_011259034.1,0,908,0,908
XP_006565999.1,XP_011259035.1,0,896,0,896
XP_006566000.1,XP_011259034.1,0,897,0,897
XP_006566000.1,XP_011259035.1,0,897,0,897
XP_006566002.1,XP_011252175.2,7.00E-64,233,2.00E-52,198
XP_006566002.1,XP_011252177.2,6.00E-64,233,1.00E-52,199
XP_006566002.1,XP_025266400.1,6.00E-64,233,1.00E-52,199
XP_006566003.1,XP_011252179.1,0,691,0,697
XP_006566010.1,XP_011253322.1,6.00E-92,267,7.00E-92,267
XP_006566012.1,XP_011254741.2,0,1036,0,1003
XP_006566012.1,XP_011254749.2,0,1036,0,1003
XP_006566012.1,XP_011254767.2,0,1044,0,1011
XP_006566013.1,XP_011254741.2,0,1042,0,1009
XP_006566013.1,XP_011254749.2,0,1042,0,1009
XP_006566013.1,XP_011254767.2,0,1048,0,1017
XP_006566014.1,XP_011254741.2,0,1013,0,993
XP_006566014.1,XP_011254749.2,0,1013,0,993
XP_006566014.1,XP_011254767.2,0,1022,0,1001
XP_006566015.1,XP_011254741.2,0,1013,0,991
XP_006566015.1,XP_011254749.2,0,1013,0,991
XP_006566015.1,XP_011254767.2,0,1020,0,1000
XP_006566017.1,XP_011263931.1,0,1204,0,1210
XP_006566017.1,XP_025262099.1,0,1204,0,1210
XP_006566018.1,XP_011263932.1,0,1005,0,1034
XP_006566019.2,XP_025262108.1,0,967,0,968
XP_006566019.2,XP_025262109.1,0,981,0,981
XP_006566020.2,XP_011263933.1,1.00E-106,319,2.00E-106,319
XP_006566028.2,XP_011263085.1,0,802,0,870
XP_006566036.1,XP_025264993.1,0,3164,0,3164
XP_006566036.1,XP_025264994.1,0,3154,0,3154
XP_006566037.1,XP_025264993.1,0,3154,0,3154
XP_006566037.1,XP_025264994.1,0,3160,0,3160
XP_006566038.1,XP_011268006.1,0,802,0,783
XP_006566038.1,XP_011268007.1,0,802,0,783
XP_006566038.1,XP_011268008.1,0,802,0,783
XP_006566039.1,XP_011268006.1,0,802,0,783
XP_006566039.1,XP_011268007.1,0,802,0,783
XP_006566039.1,XP_011268008.1,0,802,0,783
XP_006566054.1,XP_025270045.1,0,2009,0,2041
XP_006566054.1,XP_025270046.1,0,2009,0,2041
XP_006566054.1,XP_025270047.1,0,2009,0,2041
XP_006566054.1,XP_025270048.1,0,2009,0,2041
XP_006566054.1,XP_025270049.1,0,2009,0,2041
XP_006566054.1,XP_025270052.1,0,1944,0,1982
XP_006566054.1,XP_025270054.1,0,2028,0,2028
XP_006566055.1,XP_025270045.1,0,1942,0,1982
XP_006566055.1,XP_025270046.1,0,1942,0,1982
XP_006566055.1,XP_025270047.1,0,1942,0,1982
XP_006566055.1,XP_025270048.1,0,1942,0,1982
XP_006566055.1,XP_025270049.1,0,1942,0,1982
XP_006566055.1,XP_025270051.1,0,1873,0,1923
XP_006566055.1,XP_025270052.1,0,1970,0,2011
XP_006566060.1,XP_011260580.1,7.00E-130,369,7.00E-126,358
XP_006566061.1,XP_011260580.1,7.00E-130,369,7.00E-126,358
XP_006566064.1,XP_011260576.1,5.00E-136,386,6.00E-136,386
XP_006566064.1,XP_011260577.1,5.00E-136,385,6.00E-136,385
XP_006566065.1,XP_011267620.1,5.00E-84,263,2.00E-90,280
XP_006566066.1,XP_011259120.1,0,1429,0,1429
XP_006566066.1,XP_025264248.1,0,1429,0,1429
XP_006566068.1,XP_011267604.1,0,656,0,656
XP_006566068.1,XP_011267605.1,0,656,0,656
XP_006566068.1,XP_011267606.1,0,656,0,656
XP_006566069.1,XP_011267604.1,0,656,0,656
XP_006566069.1,XP_011267605.1,0,656,0,656
XP_006566069.1,XP_011267606.1,0,656,0,656
XP_006566071.2,XP_011267607.1,0,1510,0,1508
XP_006566071.2,XP_019885233.1,0,1510,0,1508
XP_006566072.2,XP_011267607.1,0,1510,0,1508
XP_006566072.2,XP_019885233.1,0,1510,0,1508
XP_006566073.2,XP_011267607.1,0,1510,0,1508
XP_006566073.2,XP_019885233.1,0,1510,0,1508
XP_006566077.2,XP_011267612.1,0,1048,0,1064
XP_006566079.2,XP_019885224.2,0,1045,0,1045
XP_006566082.1,XP_011267616.1,0,688,0,688
XP_006566088.1,XP_011259124.2,0,1463,0,1468
XP_006566088.1,XP_025264229.1,0,1495,0,1498
XP_006566088.1,XP_025264230.1,0,1467,0,1470
XP_006566088.1,XP_025264231.1,0,1466,0,1470
XP_006566091.1,XP_011259117.1,0,1054,0,1054
XP_006566091.1,XP_011259118.1,0,1036,0,1036
XP_006566093.1,XP_025264206.1,0,939,0,924
XP_006566094.1,XP_025264206.1,0,917,0,903
XP_006566096.3,XP_011258343.1,0,722,0,722
XP_006566101.1,XP_011262714.1,0,777,0,782
XP_006566101.1,XP_011262715.1,0,777,0,782
XP_006566102.1,XP_011262714.1,0,777,0,782
XP_006566102.1,XP_011262715.1,0,777,0,782
XP_006566104.2,XP_011262708.1,0,2665,0,2624
XP_006566105.2,XP_011262708.1,0,2647,0,2603
XP_006566106.1,XP_025268135.1,0,915,0,915
XP_006566107.1,XP_025268135.1,0,894,0,894
XP_006566109.1,XP_025268145.1,0,953,0,953
XP_006566114.1,XP_011253968.1,0,796,0,801
XP_006566114.1,XP_011253969.1,0,796,0,801
XP_006566117.2,XP_011258316.2,0,663,0,645
XP_006566118.2,XP_011258310.1,2.00E-153,435,8.00E-160,452
XP_006566118.2,XP_025268121.1,9.00E-155,439,1.00E-154,439
XP_006566118.2,XP_025268122.1,9.00E-155,439,1.00E-154,439
XP_006566119.1,XP_011258318.1,0,578,0,578
XP_006566121.1,XP_025268174.1,0,532,0,532
XP_006566122.1,XP_011258319.1,0,546,0,546
XP_006566124.1,XP_025268175.1,0,520,0,520
XP_006566127.1,XP_011258326.2,0,2017,0,2042
XP_006566127.1,XP_011258327.2,0,2017,0,2042
XP_006566127.1,XP_011258328.2,0,1981,0,2006
XP_006566127.1,XP_011258329.2,0,2029,0,2053
XP_006566127.1,XP_011258330.2,0,1971,0,1996
XP_006566127.1,XP_011258331.2,0,1935,0,1960
XP_006566127.1,XP_011258332.2,0,1983,0,2009
XP_006566135.1,XP_011254728.1,0,728,0,764
XP_006566138.2,XP_011250796.1,2.00E-105,340,1.00E-106,344
XP_006566140.1,XP_011254792.2,0,616,0,644
XP_006566141.1,XP_011250789.1,0,623,0,623
XP_006566142.1,XP_011250789.1,0,623,0,623
XP_006566143.2,XP_011250787.1,0,1404,0,1432
XP_006566144.2,XP_011250787.1,0,1404,0,1432
XP_006566145.2,XP_011250787.1,0,1413,0,1442
XP_006566146.2,XP_011250787.1,0,1413,0,1442
XP_006566147.2,XP_011250787.1,0,1393,0,1421
XP_006566149.2,XP_011250788.1,0,1353,0,1381
XP_006566151.2,XP_011261978.1,0,1709,0,1712
XP_006566156.1,XP_011250874.1,3.00E-180,499,3.00E-180,499
XP_006566156.1,XP_011250875.1,7.00E-175,486,8.00E-175,486
XP_006566156.1,XP_011250876.1,3.00E-180,499,3.00E-180,499
XP_006566156.1,XP_011250877.1,3.00E-180,499,3.00E-180,499
XP_006566159.1,XP_011250874.1,1.00E-177,493,2.00E-177,493
XP_006566159.1,XP_011250875.1,1.00E-177,493,1.00E-177,493
XP_006566159.1,XP_011250876.1,1.00E-177,493,1.00E-177,493
XP_006566159.1,XP_011250877.1,1.00E-177,493,1.00E-177,493
XP_006566160.1,XP_011250874.1,3.00E-180,499,3.00E-180,499
XP_006566160.1,XP_011250875.1,7.00E-175,486,8.00E-175,486
XP_006566160.1,XP_011250876.1,3.00E-180,499,3.00E-180,499
XP_006566160.1,XP_011250877.1,3.00E-180,499,3.00E-180,499
XP_006566161.1,XP_011250874.1,2.00E-175,487,2.00E-175,487
XP_006566161.1,XP_011250875.1,1.00E-180,500,1.00E-180,500
XP_006566161.1,XP_011250876.1,1.00E-175,488,1.00E-175,488
XP_006566161.1,XP_011250877.1,1.00E-175,488,1.00E-175,488
XP_006566164.1,XP_011250881.1,0,1619,0,1674
XP_006566164.1,XP_025267136.1,0,1619,0,1674
XP_006566165.1,XP_011253327.1,8.00E-85,250,9.00E-85,250
XP_006566165.1,XP_011253328.1,8.00E-85,250,9.00E-85,250
XP_006566165.1,XP_025267102.1,8.00E-85,250,9.00E-85,250
XP_006566167.1,XP_011253321.1,0,816,0,854
XP_006566168.2,XP_019884659.2,3.00E-64,209,2.00E-64,209
XP_006566169.1,XP_011264494.1,0,921,0,972
XP_006566169.1,XP_011264495.1,0,921,0,972
XP_006566169.1,XP_011264496.1,0,921,0,972
XP_006566169.1,XP_011264500.1,0,921,0,972
XP_006566169.1,XP_011264501.1,0,921,0,972
XP_006566169.1,XP_019884661.1,0,921,0,972
XP_006566169.1,XP_019884662.1,0,921,0,972
XP_006566171.1,XP_011264505.2,3.00E-158,452,2.00E-153,441
XP_006566171.1,XP_011269639.2,1.00E-157,451,1.00E-152,438
XP_006566172.1,XP_011253320.1,0,734,0,735
XP_006566173.2,XP_011251064.2,0,774,0,774
XP_006566173.2,XP_011251065.2,0,774,0,774
XP_006566173.2,XP_011251069.2,0,769,0,772
XP_006566173.2,XP_019882075.2,0,769,0,772
XP_006566173.2,XP_025271008.1,0,774,0,774
XP_006566173.2,XP_025271009.1,0,771,0,775
XP_006566174.2,XP_011251068.2,0,658,0,659
XP_006566177.2,XP_011251072.1,0,665,0,655
XP_006566177.2,XP_011251073.1,0,667,0,658
XP_006566177.2,XP_011251078.1,0,665,0,654
XP_006566178.2,XP_011251074.1,0,602,0,579
XP_006566178.2,XP_011251077.1,0,610,0,587
XP_006566184.1,XP_011269455.2,0,748,0,767
XP_006566184.1,XP_011269456.2,0,739,0,758
XP_006566184.1,XP_019885568.2,0,740,0,763
XP_006566188.2,XP_011269455.2,0,741,0,760
XP_006566188.2,XP_011269456.2,0,737,0,756
XP_006566188.2,XP_019885568.2,0,738,0,782
XP_006566191.1,XP_011269455.2,0,741,0,760
XP_006566191.1,XP_011269456.2,0,737,0,756
XP_006566191.1,XP_019885568.2,0,738,0,782
XP_006566196.1,XP_011269443.1,1.00E-52,175,1.00E-60,196
XP_006566199.1,XP_025268031.1,0,1957,0,1998
XP_006566199.1,XP_025268032.1,0,1947,0,1992
XP_006566199.1,XP_025268033.1,0,1941,0,1981
XP_006566199.1,XP_025268034.1,0,1913,0,1954
XP_006566200.1,XP_025268031.1,0,1941,0,1981
XP_006566200.1,XP_025268032.1,0,1932,0,1976
XP_006566200.1,XP_025268033.1,0,1925,0,1966
XP_006566200.1,XP_025268034.1,0,1896,0,1939
XP_006566201.1,XP_025268031.1,0,1938,0,1981
XP_006566201.1,XP_025268032.1,0,1929,0,1975
XP_006566201.1,XP_025268033.1,0,1946,0,1988
XP_006566201.1,XP_025268034.1,0,1895,0,1936
XP_006566202.1,XP_025268031.1,0,1927,0,1970
XP_006566202.1,XP_025268032.1,0,1935,0,1977
XP_006566202.1,XP_025268033.1,0,1934,0,1976
XP_006566202.1,XP_025268034.1,0,1883,0,1925
XP_006566203.1,XP_025268031.1,0,1943,0,1985
XP_006566203.1,XP_025268032.1,0,1936,0,1979
XP_006566203.1,XP_025268033.1,0,1929,0,1969
XP_006566203.1,XP_025268034.1,0,1899,0,1940
XP_006566221.2,XP_025268185.1,0,738,0,713
XP_006566221.2,XP_025268186.1,0,738,0,713
XP_006566221.2,XP_025268187.1,0,738,0,713
XP_006566221.2,XP_025268188.1,0,738,0,713
XP_006566221.2,XP_025268189.1,0,737,0,712
XP_006566222.2,XP_025268185.1,0,737,0,712
XP_006566222.2,XP_025268186.1,0,737,0,712
XP_006566222.2,XP_025268187.1,0,737,0,712
XP_006566222.2,XP_025268188.1,0,737,0,712
XP_006566222.2,XP_025268189.1,0,736,0,711
XP_006566223.2,XP_025268185.1,0,735,0,711
XP_006566223.2,XP_025268186.1,0,735,0,711
XP_006566223.2,XP_025268187.1,0,735,0,711
XP_006566223.2,XP_025268188.1,0,735,0,711
XP_006566223.2,XP_025268189.1,0,737,0,712
XP_006566224.2,XP_011268534.2,0,1222,0,1224
XP_006566224.2,XP_011268542.2,0,1191,0,1195
XP_006566224.2,XP_019885334.2,0,1229,0,1231
XP_006566224.2,XP_019885336.2,0,1229,0,1231
XP_006566224.2,XP_019885337.2,0,1229,0,1231
XP_006566224.2,XP_019885338.2,0,1229,0,1231
XP_006566224.2,XP_019885339.2,0,1229,0,1231
XP_006566224.2,XP_019885341.2,0,1229,0,1231
XP_006566224.2,XP_019885348.2,0,1229,0,1231
XP_006566224.2,XP_025268179.1,0,1229,0,1231
XP_006566224.2,XP_025268180.1,0,1229,0,1231
XP_006566224.2,XP_025268181.1,0,1229,0,1231
XP_006566225.2,XP_011268534.2,0,1226,0,1229
XP_006566225.2,XP_011268542.2,0,1185,0,1189
XP_006566225.2,XP_011268553.2,0,1167,0,1165
XP_006566225.2,XP_019885334.2,0,1222,0,1224
XP_006566225.2,XP_019885336.2,0,1222,0,1224
XP_006566225.2,XP_019885337.2,0,1222,0,1224
XP_006566225.2,XP_019885338.2,0,1222,0,1224
XP_006566225.2,XP_019885339.2,0,1222,0,1224
XP_006566225.2,XP_019885341.2,0,1222,0,1224
XP_006566225.2,XP_019885348.2,0,1222,0,1224
XP_006566225.2,XP_025268179.1,0,1222,0,1224
XP_006566225.2,XP_025268180.1,0,1222,0,1224
XP_006566225.2,XP_025268181.1,0,1222,0,1224
XP_006566226.2,XP_011268534.2,0,1218,0,1221
XP_006566226.2,XP_011268542.2,0,1189,0,1192
XP_006566226.2,XP_011268553.2,0,1164,0,1163
XP_006566226.2,XP_019885334.2,0,1224,0,1228
XP_006566226.2,XP_019885336.2,0,1224,0,1228
XP_006566226.2,XP_019885337.2,0,1224,0,1228
XP_006566226.2,XP_019885338.2,0,1224,0,1228
XP_006566226.2,XP_019885339.2,0,1224,0,1228
XP_006566226.2,XP_019885341.2,0,1224,0,1228
XP_006566226.2,XP_019885348.2,0,1224,0,1228
XP_006566226.2,XP_025268179.1,0,1224,0,1228
XP_006566226.2,XP_025268180.1,0,1224,0,1228
XP_006566226.2,XP_025268181.1,0,1224,0,1228
XP_006566227.2,XP_011268534.2,0,1184,0,1188
XP_006566227.2,XP_011268542.2,0,1201,0,1204
XP_006566227.2,XP_019885334.2,0,1191,0,1195
XP_006566227.2,XP_019885336.2,0,1191,0,1195
XP_006566227.2,XP_019885337.2,0,1191,0,1195
XP_006566227.2,XP_019885338.2,0,1191,0,1195
XP_006566227.2,XP_019885339.2,0,1191,0,1195
XP_006566227.2,XP_019885341.2,0,1191,0,1195
XP_006566227.2,XP_019885348.2,0,1191,0,1195
XP_006566227.2,XP_025268179.1,0,1191,0,1195
XP_006566227.2,XP_025268180.1,0,1191,0,1195
XP_006566227.2,XP_025268181.1,0,1191,0,1195
XP_006566229.2,XP_011268534.2,0,1164,0,1169
XP_006566229.2,XP_011268553.2,0,1162,0,1164
XP_006566230.1,XP_011268566.1,4.00E-32,110,5.00E-32,110
XP_006566235.2,XP_025268132.1,0,1714,0,1726
XP_006566235.2,XP_025268134.1,0,1747,0,1756
XP_006566236.2,XP_025268134.1,0,1697,0,1706
XP_006566237.2,XP_025268134.1,0,1697,0,1706
XP_006566239.1,XP_011268607.1,0,1210,0,1210
XP_006566240.1,XP_011268607.1,0,1210,0,1210
XP_006566246.2,XP_011268618.1,0,610,0,613
